2169571,382,sulfolobus alphaportoglobovirus 1
2056194,2945,sulfolobus ellipsoid virus 1
2049890,4245,haloarcula virus hciv1
2035535,6643,methanosarcina spherical virus
2032573,7175,sulfolobus spindle-shaped virus 9
2032563,7176,sulfolobus spindle-shaped virus 8
2023155,8349,metallosphaera turreted icosahedral virus,VHostDB
1987118,12490,haloarcula virus his2
1987108,12491,halogeometricum virus hgpv1
1987107,12492,halorubrum virus hrpv3
1987105,12494,haloarcula virus hhpv2
1987104,12495,haloarcula virus hhpv1
1987103,12496,halorubrum virus hrpv6
1987102,12497,halorubrum virus hrpv2
1987101,12498,halorubrum virus hrpv1
1983552,13179,sulfolobus islandicus rod-shaped virus 9,VHostDB
1983551,13180,sulfolobus islandicus rod-shaped virus 8,VHostDB
1983550,13181,sulfolobus islandicus rod-shaped virus 7,VHostDB
1983549,13182,sulfolobus islandicus rod-shaped virus 6,VHostDB
1983548,13183,sulfolobus islandicus rod-shaped virus 5,VHostDB
1983547,13184,sulfolobus islandicus rod-shaped virus 4,VHostDB
1983546,13185,sulfolobus islandicus rod-shaped virus 11,VHostDB
1983545,13186,sulfolobus islandicus rod-shaped virus 10,VHostDB
1982658,13330,sulfolobus polyhedral virus 1
1980944,13674,halobacterium virus phih
1980140,14001,haloarcula hispanica pleomorphic virus 4
1959009,17076,sulfolobus spindle-shaped virus 3
1959008,17077,sulfolobus spindle-shaped virus lassen
1932713,19383,aeropyrum globular virus 1
1902331,25942,sulfolobus islandicus filamentous virus 2
1898550,26002,acidianus two-tailed virus variant 1
1898549,26003,acidianus two-tailed virus 2
1895333,26472,sulfolobus islandicus rudivirus 3,VHostDB
1879051,28493,haloarcula hispanica pleomorphic virus 3
1805492,34141,pyrobaculum filamentous virus 1,VHostDB
1797140,34728,acidianus tailed spindle virus,VHostDB
1735722,40186,haloarcula californiae icosahedral virus 1,VHostDB
1732180,40689,sulfolobales virus ynp2,VHostDB
1732179,40690,sulfolobales virus ynp1,VHostDB
1732178,40691,sulfolobus monocaudavirus smv4,VHostDB
1732177,40692,sulfolobus monocaudavirus smv3,VHostDB
1732175,40694,acidianus rod-shaped virus 2,VHostDB
1732174,40695,acidianus bottle-shaped virus 3,VHostDB
1732173,40696,acidianus bottle-shaped virus 2,VHostDB
1723446,41942,natrinema virus snj1
1580591,59164,sulfolobus monocaudavirus smv2,VHostDB
1500510,67638,halovirus vnh-1,VHostDB
1442594,73869,haloarcula hispanica pleomorphic virus 2,VHostDB
1430441,74596,methanobacterium virus drs3
1351702,80248,sulfolobus monocaudavirus smv1,VHostDB
1298531,88268,sulfolobales mexican fusellovirus 1,VHostDB
1289471,89267,aeropyrum pernix bacilliform virus 1 japan/tanaka/2005
1282967,90554,haloarcula hispanica virus ph1,VHostDB
1273755,92110,halovirus hrtv-8,VHostDB
1273754,92111,halovirus hrtv-7,VHostDB
1273753,92112,halovirus hrtv-5,VHostDB
1273752,92113,halovirus hrtv-4,VHostDB
1273751,92114,halovirus hhtv-2,VHostDB
1273750,92115,halovirus hhtv-1,VHostDB
1273749,92116,halovirus hgtv-1,VHostDB
1273748,92117,halovirus hctv-5,VHostDB
1273747,92118,halovirus hctv-2,VHostDB
1273746,92119,halovirus hctv-1,VHostDB
1262530,92875,halovirus hstv-1,VHostDB
1262528,92876,halovirus hvtv-1,VHostDB
1262527,92877,halovirus hstv-2,VHostDB
1245909,94087,sulfolobales mexican rudivirus 1,VHostDB
1157339,104097,aeropyrum coil-shaped virus,VHostDB
1156722,104139,halogeometricum pleomorphic virus 1,VHostDB
1156721,104140,halorubrum pleomorphic virus 6,VHostDB
1156720,104141,halorubrum pleomorphic virus 3,VHostDB
1156719,104142,halorubrum pleomorphic virus 2,VHostDB
1154689,104246,haloarcula hispanica icosahedral virus 2,VHostDB
1123964,107613,sulfolobus virus stsv2,VHostDB
1115696,108069,thermococcus prieurii virus 1,VHostDB
1032474,116322,aeropyrum pernix ovoid virus 1,VHostDB
1032473,116323,aeropyrum pernix spindle-shaped virus 1,VHostDB
927392,122912,nitrososphaera phage pro-nvie1,VHostDB
889959,124399,halorubrum phage gnf2
762906,130514,hyperthermophilic archaeal virus 2,VHostDB
762905,130515,hyperthermophilic archaeal virus 1,VHostDB
754066,132002,halorubrum phage cgphi46,VHostDB
754004,132034,sulfolobus turreted icosahedral virus 2,VHostDB
710112,136145,haloarcula hispanica pleomorphic virus 1,VHostDB
700542,137589,aeropyrum pernix bacilliform virus 1
693629,138299,acidianus spindle-shaped virus 1,VHostDB
693628,138300,sulfolobus spindle-shaped virus 7,VHostDB
693627,138301,sulfolobus spindle-shaped virus 6,VHostDB
654911,144854,acidianus bottle-shaped virus (isolate pozzuoli)
