2023716,8307,flavobacterium phage flip
1984757,13090,flavobacterium phage vk58
1984756,13091,flavobacterium phage vk52
1984755,13092,flavobacterium phage vk48
1984754,13093,flavobacterium phage vk42
1984753,13094,flavobacterium phage vk20
1984752,13095,flavobacterium phage v182
1984751,13096,flavobacterium phage v165
1984750,13097,flavobacterium phage v157
1984749,13098,flavobacterium phage v156
1984748,13099,flavobacterium phage fcv-16
1984747,13100,flavobacterium phage fcv-10
1983586,13150,flavobacterium phage fcv-3
1983585,13151,flavobacterium phage fcv-11
1983544,13187,flavobacterium phage v181
1983543,13188,flavobacterium phage v175
1982248,13469,nonlabens virus p12024s
1982247,13470,nonlabens virus p12024l
1982246,13471,polaribacter virus p12002s
1982245,13472,polaribacter virus p12002l
1918720,23017,cellulophaga virus st
1918525,23043,cellulophaga virus cba172
1918524,23044,cellulophaga virus cba41
1918194,23047,cellulophaga virus cba171
1918193,23048,cellulophaga virus cba121
1918192,23049,cellulophaga virus cba181
1880590,28453,tenacibaculum phage pt24
1814288,33645,flavobacterium phage fpv8,VHostDB
1814287,33646,flavobacterium phage fpv7,VHostDB
1814286,33647,flavobacterium phage fpv6,VHostDB
1814285,33648,flavobacterium phage fpv5,VHostDB
1814284,33649,flavobacterium phage fpv3,VHostDB
1814283,33650,flavobacterium phage fpv20,VHostDB
1814282,33651,flavobacterium phage fpv2,VHostDB
1814281,33652,flavobacterium phage fpv11,VHostDB
1814280,33653,flavobacterium phage fpv10,VHostDB
1814279,33654,flavobacterium phage 23t
1792274,34982,flavobacterium phage fpv1,VHostDB
1792273,34983,flavobacterium phage 2a,VHostDB
1792272,34984,flavobacterium phage 1h,VHostDB
1747285,39602,cellulophaga phage phi4:1_18
1747284,39603,cellulophaga phage phi4:1_13
1747283,39604,cellulophaga phage phi17:2_18
1740109,39802,flavobacterium phage fpv9
1740108,39803,flavobacterium phage fpv4
1740107,39804,flavobacterium phage fpv21
1653086,47665,cellulophaga phage mariner
1647387,48347,polaribacter phage p12002s,VHostDB
1647386,48348,polaribacter phage p12002l,VHostDB
1458858,72110,flavobacterium sp. phage 1/32,VHostDB
1328030,83072,cellulophaga phage phi13:2,VHostDB
1328029,83073,cellulophaga phage phi4:1,VHostDB
1328028,83074,cellulophaga phage phi48:1,VHostDB
1327999,83075,cellulophaga phage phi38:2,VHostDB
1327997,83076,cellulophaga phage phi18:4,VHostDB
1327995,83077,cellulophaga phage phi18:2,VHostDB
1327993,83078,cellulophaga phage phi39:1,VHostDB
1327992,83079,cellulophaga phage phi13:1,VHostDB
1327990,83080,cellulophaga phage phi14:2,VHostDB
1327987,83081,cellulophaga phage phi12a:1,VHostDB
1327985,83082,cellulophaga phage phi46:3,VHostDB
1327984,83083,cellulophaga phage phi19:2,VHostDB
1327983,83084,cellulophaga phage phi18:3,VHostDB
1327982,83085,cellulophaga phage phi18:1,VHostDB
1327981,83086,cellulophaga phage phi10:1,VHostDB
1327980,83087,cellulophaga phage phi17:1,VHostDB
1327979,83088,cellulophaga phage phi12:3,VHostDB
1327977,83089,cellulophaga phage phi38:1,VHostDB
1327976,83090,cellulophaga phage phi12:1,VHostDB
1327975,83091,cellulophaga phage phi40:1,VHostDB
1327974,83092,cellulophaga phage phi46:1,VHostDB
1327973,83093,cellulophaga phage phi3st:2,VHostDB
1327972,83094,cellulophaga phage phi17:2,VHostDB
1327971,83095,cellulophaga phage phi19:3,VHostDB
1327970,83096,cellulophaga phage phi19:1,VHostDB
1327969,83097,cellulophaga phage phi12:2,VHostDB
1327968,83098,cellulophaga phage phi48:2,VHostDB
1327037,83145,croceibacter phage p2559y,VHostDB
1325731,83789,flavobacterium phage 6h,VHostDB
1176422,102027,croceibacter phage p2559s,VHostDB
1168479,103053,nonlabens phage p12024l,VHostDB
1168478,103054,nonlabens phage p12024s,VHostDB
1033977,116199,flavobacterium phage fcv-1
936152,122206,riemerella phage rap44,VHostDB
908821,123707,flavobacterium phage fkj-2
908820,123708,flavobacterium phage fl-1
908819,123709,flavobacterium phage fcl-2,VHostDB
756282,131633,cellulophaga phage phist,VHostDB
756281,131634,cellulophaga phage phi47:1,VHostDB
756280,131635,cellulophaga phage phism,VHostDB
756279,131636,cellulophaga phage phi3:1,VHostDB
294631,179756,flavobacterium phage 11b,VHostDB
