2202248,51,listeria phage psu-vkh-lp041
2202247,52,listeria phage psu-vkh-lp040
2202246,53,listeria phage psu-vkh-lp019
2175845,238,staphylococcus phage trsa15
2175844,239,staphylococcus phage trsa14
2175843,240,staphylococcus phage trsa10
2163024,455,staphylococcus phage hyz21
2161785,495,staphylococcus phage vb_saum_0414_108
2126734,616,staphylococcus phage phisa_bs1
2126724,617,staphylococcus phage phisa_bs2
2108359,900,staphylococcus phage csa13
2108114,949,bacillus phage anath
2100124,965,bacillus phage ez-2018a
2099336,1017,anoxybacillus phage a403
2094737,1018,bacillus phage v_b-bak6
2094736,1019,bacillus phage v_b-bak10
2094735,1020,bacillus phage v_b-bak1
2079258,1257,bacillus phage honestabe
2074139,1328,staphylococcus phage vb_saup_phiago1.9
2074138,1329,staphylococcus phage vb_saup_phiago1.3
2072797,1333,bacillus phage carmen17
2070196,1573,paenibacillus phage tadhana
2070195,1574,paenibacillus phage pagassa
2070194,1575,paenibacillus phage pbl1c
2070193,1576,paenibacillus phage likha
2070192,1577,paenibacillus phage leyra
2070191,1578,paenibacillus phage kiel007
2070190,1579,paenibacillus phage dragolir
2070189,1580,paenibacillus phage bn12
2070179,1590,staphylococcus phage vb_saum_lm12
2069313,1801,bacillus phage btiuft6.51-f
2069312,1802,bacillus phage bsp10
2066503,1948,staphylococcus phage sh-st 15644
2060957,2362,staphylococcus phage phisa2wa_st93mssa
2060956,2363,staphylococcus phage phisa2wa_st93
2060955,2364,staphylococcus phage phisa2wa_st80
2060954,2365,staphylococcus phage phisa2wa_st78
2060953,2366,staphylococcus phage phisa2wa_st72
2060952,2367,staphylococcus phage phisa2wa_st59
2060951,2368,staphylococcus phage phisa2wa_st5
2060950,2369,staphylococcus phage phisa2wa_st30
2060949,2370,staphylococcus phage phisa2wa_st22
2060948,2371,staphylococcus phage phisa2wa_st121mssa
2059854,2485,staphylococcus phage b1
2045371,4675,bacillus phage sbsphic
2045370,4676,bacillus phage sbsphij
2042207,5694,paenibacillus virus willow
2042206,5695,staphylococcus virus stau2
2041389,5795,lysinibacillus phage vb_lspm-01
2041337,5807,staphylococcus phage sajk-ind
2039884,5892,bacillus phage bc01
2036768,6620,caldibacillus phage cbp1
2034999,6734,paenibacillus virus vegas
2030094,7274,bacillus phage taffo16
2029631,7339,staphylococcus phage upmk_2
2029064,7429,staphylococcus phage phisa2wa_st1
