2163588,452,marinomonas phage yy
2022859,8357,marinomonas phage cb5a
2015814,9509,salicola phage sctp-2
1965370,15674,marinomonas phage cpp1m
1965369,15675,marinomonas phage cpg1g
1913108,24100,halomonas phage qhhsv-1
1510629,66588,halomonas phage phinb5ah-st
1510628,66589,halomonas phage phinb5ah-om
1510627,66590,halomonas phage phinb2ah-nb
1472912,69814,nitrincola phage 1m3-16,VHostDB
1283337,90420,halomonas phage phihap-1 gulf of mexico/-/2001
1176423,102026,marinomonas phage p12026,VHostDB
754067,132001,salicola phage cgphi29,VHostDB
499235,160604,halomonas virus hap1,VHostDB
