1980548,13793,yichang insect goukovirus
1980541,13799,shuangao insect orthophasmavirus 2
1980536,13804,shuangao insect herbevirus 1
1923734,20935,wuhan insect virus 30
1923733,20936,wuhan insect virus 29
1923729,20940,wuhan insect virus 25
1923728,20941,wuhan insect virus 24
1923720,20949,wuhan insect virus 16
1922897,21772,hubei insect virus 1
1608108,53186,wuhan insect virus 3
1608106,53188,wuhan insect virus 1
1608080,53214,shuangao insect virus 6
1608079,53215,shuangao insect virus 5
1608078,53216,shuangao insect virus 4
1608077,53217,shuangao insect virus 3
1608076,53218,shuangao insect virus 2
