2038085,5995,pleurotus ostreatus spherical virus
1960320,16749,lentinula edodes partitivirus 1
1945753,18017,agaricus bisporus virus 9
1945752,18018,agaricus bisporus virus 8
1945751,18019,agaricus bisporus virus 7
1945750,18020,agaricus bisporus virus 6
1945749,18021,agaricus bisporus virus 5
1945748,18022,agaricus bisporus virus 3
1945747,18023,agaricus bisporus virus 2
1945746,18024,agaricus bisporus virus 16
1945745,18025,agaricus bisporus virus 15
1945744,18026,agaricus bisporus virus 14
1945743,18027,agaricus bisporus virus 13
1945742,18028,agaricus bisporus virus 12
1945741,18029,agaricus bisporus virus 11
1945740,18030,agaricus bisporus virus 10
1945739,18031,agaricus bisporus mitovirus 1
1945738,18032,agaricus bisporus endornavirus 1
1802945,34645,drosophila montana sigmavirus
1670678,46037,drosophila virus jtm-2015
1670675,46039,drosophila reovirus
1192195,101215,lentinula edodes helical virus
1192194,101216,lentinula edodes spherical virus
1192193,101217,agaricus bisporus spherical virus
1162083,103527,clitocybe odora virus,VHostDB
1110704,108749,drosophila nudivirus rlu-2011
1068898,113290,lentinula edodes ssrna mycovirus
865617,127942,drosophila c virus strain eb
697628,137991,lentinula edodes mycovirus hka
697627,137992,lentinula edodes mycovirus f1
674983,141614,pleurotus ostreatus virus 1,VHostDB
665915,142593,lentinus edodes dsrna virus
654931,144837,drosophila x virus (isolate chung)
568090,150783,flammulina velutipes browning virus
529380,155382,chondrostereum purpureum cryptic virus 1
515670,156422,lentinula edodes mycovirus hkb
511616,157995,flammulina velutipes isometric virus
218667,182978,oyster mushroom spherical virus,VHostDB
181522,184559,agaricus bisporus virus x
46339,188779,agaricus bisporus virus 1
32625,189481,mushroom bacilliform virus,VHostDB
