Lutjaniformes,4
Priacanthiformes,1
Chaetodontiformes,7
Holocentriformes,1
Centrarchiformes,12
Pempheriformes,3
Acanthuriformes,2
Spariformes,13
Ephippiformes,7
Labriformes,10
Uranoscopiformes,4
Blenniiformes,1
Cichliformes,11
Carangiformes,11
Anabantiformes,4
Scombriformes,6
Gobiiformes,1
Argentiniformes,1
Syngnathiformes,9
Aulopiformes,5
Synbranchiformes,1
Mugiliformes,4
Osmeriformes,2
Clupeiformes,3
Tetraodontiformes,12
Gonorynchiformes,1
Beryciformes,2
Pleuronectiformes,33
Perciformes,71
Lophiiformes,4
Batrachoidiformes,1
Gadiformes,35
Esociformes,5
Salmoniformes,30
Siluriformes,12
Cypriniformes,33
Anguilliformes,20
Acipenseriformes,1
NA,21
