2116453,679,wenling hoplichthys paramyxovirus
2116419,708,wenling pterygotrigla hemisticta astrovirus
2116417,710,wenling lepidotrigla astrovirus
2116209,774,wenling lepidotrigla picornavirus
2116208,775,wenling hoplichthys picornavirus
2116197,786,wenling chelidoperca picornavirus
2116153,829,wenling perciformes astrovirus 2
2116122,860,beihai cephalopholis spiloparaea astrovirus
2107207,960,smallmouth bass virus
2083440,1088,japanese sea bass iridovirus
2055848,2999,cyclopterus lumpus virus
1891755,26684,centropristis striata polyomavirus 1
1885633,26909,largemouth bass reovirus
1862978,30231,etheostoma fonticola aquareovirus,VHostDB
1785076,35897,grouper betanodavirus
1766781,37430,grouper iridovirus of taiwan
1631732,49920,trematomus pennellii polyomavirus 1,VHostDB
1572341,61015,black sea bass polyomavirus 1,VHostDB
1437070,74054,hybrid grouper megalocytivirus
1437069,74055,giant grouper megalocytivirus
1390990,78091,pterygotrigla hemisticta nervous necrosis virus
1390980,78101,epinephelus areolatus ranavirus
1390978,78103,epinephelus awoara ranavirus
1256869,93502,perch perhabdovirus,VHostDB
1246483,94083,sander lucioperca betanodavirus
1162553,103516,largemouth bass virus - snakehead
1110517,108769,epinephelus sp. betanodavirus
1110516,108770,epinephelus marginatus betanodavirus
1110515,108771,epinephelus costae betanodavirus
1056517,113462,tiger grouper nervous necrosis virus
1056516,113463,mouse grouper nervous necrosis virus
985092,119766,chelidonichthys lucernus betanodavirus
707878,136387,largemouth bass ulcerative syndrome virus
683178,140057,sea bass iberian betanodavirus
670573,142061,parascorpaena picta iridovirus
670570,142064,lepidotrigla alata iridovirus
670567,142067,epinephelus sp. iridovirus
670566,142068,epinephelus quoyanus iridovirus
670565,142069,epinephelus fuscoguttatus iridovirus
670558,142075,cephalopholis urodeta iridovirus
670557,142076,cephalopholis boenak iridovirus
670545,142088,platycephalus indicus nervous necrosis virus
670536,142097,lepidotrigla alata nervous necrosis virus
670527,142106,cephalopholis argus nervous necrosis virus
464937,163850,australian bass nervous necrosis virus
463824,164117,king grouper iridovirus
421750,169067,orange-spotted grouper nervous necrosis virus
421749,169068,potato grouper nervous necrosis virus
421748,169069,giant grouper nervous necrosis virus
346654,176491,epinephelus septemfasciatus nervous necrosis virus
346652,176493,epinephelus aeneus nervous necrosis virus
322017,178418,orange-spotted grouper iridovirus,VHostDB
292633,179798,dragon grouper nervous necrosis virus
278183,180646,sea bass iridovirus-k
262968,181244,singapore grouper iridovirus,VHostDB
247507,181757,sevenband grouper nervous necrosis virus
241434,181937,epinephelus aeneus encephalitis virus
229402,182335,grouper sleepy disease iridovirus
210025,183304,hump-back grouper nervous necrosis virus
204929,183532,epinephelus coioides nervous necrosis virus
176656,184727,largemouth bass virus
161600,185407,yellow grouper nervous necrosis virus
143921,186182,epinephelus tauvina nervous necrosis virus
138672,186273,malabaricus grouper nervous necrosis virus
127569,186695,grouper iridovirus,VHostDB
127568,186696,sea bass iridovirus
100217,187382,epizootic haematopoietic necrosis virus,VHostDB
56095,188566,striped bass reovirus
43763,188881,redspotted grouper nervous necrosis virus,VHostDB
39720,189057,walleye dermal sarcoma virus,VHostDB
12870,189789,variola major virus,VHostDB
