2116488,650,wenling thamnaconus septentrionalis filovirus
2116484,653,wenling thamnaconus septentrionalis hepevirus
2116435,693,wenling red spikefish hantavirus
2116432,696,wenling thamnaconus septentrionalis picornavirus
2116400,714,wenling thamnaconus striatus hepevirus
2116192,791,wenling brown-lined puffer picornavirus
2083439,1089,bluegill sunfish iridovirus
1850239,31017,bluegill sunfish rabdovirus
1110512,108774,balistapus sp. betanodavirus
683898,140004,lagocephalus sceleratus iridovirus
346655,176490,takifugu rubripes nervous necrosis virus
43764,188880,tiger puffer nervous necrosis virus,VHostDB
