2116482,655,wuhan asiatic toad influenza virus
2116422,705,wuhan asiatic toad astrovirus
2116358,752,hainan black-spectacled toad dimarhabdovirus
2116330,768,huanan hylidae astrovirus
2116328,770,hainan marbled pigmy frog astrovirus 2
2116327,771,hainan marbled pigmy frog astrovirus 1
2116196,787,zhejiang banded bullfrog picornavirus
2116186,797,hainan black-spectacled toad picornavirus
2116159,823,zhejiang gunthers frog calicivirus 2
2116158,824,zhejiang gunthers frog calicivirus 1
2116144,838,zhejiang gunthers frog astrovirus
2116140,842,hainan leptobrachium hainanense astrovirus
2116132,850,hainan black-spectacled toad astrovirus 2
2116129,853,beihai tree frog astrovirus
2044919,4812,rana nigromaculata ranavirus
2026840,7669,rana catesbeiana virus 2
2023775,8301,pelophylax esculentus virus
1987509,12197,ranid herpesvirus 3,VHostDB
1862823,30253,tibetan frog hepadnavirus,VHostDB
1585659,59118,portuguese newt and toad ranavirus
1494922,68112,brown toad circovirus
1380865,78916,rana catesbeiana virus
1322248,84732,zuerich pelophylax collection ranavirus
1134038,107042,rana catesbeiana virus xdl-2012
654924,144842,frog virus 3 (isolate goorha)
643415,146546,rana esculenta virus 50-283-1/dnk/2008
626738,147711,rana plancyi virus ms-2009a
587199,148891,rana catesbeiana virus jp
575980,149928,rana esculenta virus
566307,150885,rana catesbeiana virus tw07-440
389214,172294,ranid herpesvirus 2,VHostDB
380178,173725,rana grylio iridovirus,VHostDB
333340,177554,rana catesbeiana virus z
298331,179645,frog siadenovirus a
288917,180019,uruguayan bullfrog tadpole virus
267378,181114,rana grylio virus 9506
232198,182178,rana grylio virus 9808
204873,183534,xenopus laevis endogenous retrovirus xen1,VHostDB
176654,184729,bufo iridoviruses
160691,185431,tiger frog virus,VHostDB
117169,186889,rana esculenta iridovirus
114102,186979,frog adenovirus 1,VHostDB
106969,187169,rana grylio virus 9806
106965,187173,rana grylio virus 9807
105558,187196,rana temporaria united kingdom iridovirus 2
105557,187197,rana temporaria united kingdom iridovirus 1
105556,187198,bufo marinus venezuelan iridovirus 6
105555,187199,bufo marinus venezuelan iridovirus 4
105554,187200,bufo marinus venezuelan iridovirus 3
105553,187201,bufo marinus venezuelan iridovirus 2
105552,187202,bufo marinus venezuelan iridovirus 1
105551,187203,bufo bufo united kingdom iridovirus 3
105550,187204,bufo bufo united kingdom iridovirus 2
105549,187205,bufo bufo united kingdom iridovirus 1
100219,187381,leptodactylus venezuelan iridovirus 1
99272,187418,rana esculenta retrovirus
99265,187425,bufo calamita retrovirus
85655,187648,ranid herpesvirus 1,VHostDB
12672,189809,frog erythrocytic virus
