2078576,1305,falcon coronavirus uae-hku27
2035391,6699,influenza a virus (a/peregrine falcon/niigata/12/2017(h5n6))
2028550,7434,influenza a virus (a/peregrine falcon/hokkaido/x7/2016(h5n6))
2012470,9968,influenza a virus (a/peregrine falcon/gifu/2102a008/2017(h5n6))
2012467,9971,influenza a virus (a/peregrine falcon/niigata/15/2016(h5n6))
2009208,10117,influenza a virus (a/peregrine falcon/nagasaki/4212a005/2016(h5n6))
2005437,11427,influenza a virus (a/peregrine falcon/israel/1086/2016(h5n8))
1987722,12196,harrier picornavirus 1,VHostDB
1964370,15931,falcon picornavirus,VHostDB
1959128,17056,influenza a virus (a/eagle/jakarta timur/20616-206-iii/2016(h5n1))
1884639,27134,influenza a virus (a/peregrine falcon/hk/4955/2015(h5n6))
1763728,37658,influenza a virus (a/peregrine falcon/washington/196426/2014(h5n8))
1740857,39728,bald eagle poxvirus
1641896,48891,falcovirus a1,VHostDB
1520002,65058,raptor adenovirus 1,VHostDB
1510155,66613,falconid herpesvirus 1,VHostDB
1231287,95387,influenza a virus (a/peregrine falcon/miyazaki/22m771/2011(h5n1))
1231284,95389,influenza a virus (a/peregrine falcon/nagasaki/4202a039/2011(h5n1))
1231283,95390,influenza a virus (a/peregrine falcon/miyazaki/22m754/2011(h5n1))
1231278,95395,influenza a virus (a/peregrine falcon/miyazaki/22m684/2011(h5n1))
1231273,95400,influenza a virus (a/peregrine falcon/tottori/3102s019/2011(h5n1))
1155089,104216,influenza a virus (a/eurasian eagle owl/korea/23/2010(h5n1))
1144259,105058,influenza a virus (a/buzzard/berlin/01/2006(h5n1))
1107336,108851,influenza a virus (a/peregrine falcon/aichi/2302o017/2011(h5n1))
1107335,108852,influenza a virus (a/peregrine falcon/kyoto/2602a009/2011(h5n1))
1092968,110127,influenza a virus (a/eurasian eagle owl/korea/q196/2011(h5n1))
1092967,110128,influenza a virus (a/eurasian eagle owl/korea/q182/2011(h5n1))
1092966,110129,influenza a virus (a/eurasian eagle owl/korea/q178/2011(h5n1))
1092965,110130,influenza a virus (a/eurasian eagle owl/korea/q133/2011(h5n1))
1034342,116122,influenza a virus (a/peregrine falcon/aomori/7/2011(h5n1))
1004778,117546,avipoxvirus spilornis cheela/taiwan/2008
986732,119640,influenza a virus (a/peregrine falcon/tochigi/15/2011(h5n1))
692069,138451,falcon aviadenovirus a
690691,138699,common buzzard alphaherpesvirus
673326,141839,influenza a virus (a/peregrine falcon/hong kong/810/2009(h5n1))
573964,150009,influenza a virus (a/peregrine falcon/hong kong/5211/2006(h5n1))
573956,150017,influenza a virus (a/peregrine falcon/hong kong/1143/2007(h5n1))
573944,150029,influenza a virus (a/peregrine falcon/hong kong/2142/2008(h5n1))
547900,152622,influenza a virus (a/eagle owl/sweden/v618/2006(h5n1))
547899,152623,influenza a virus (a/eagle owl/sweden/v1218/2006(h5n1))
504694,159588,influenza a virus (a/peregrine falcon/slovakia/vh246/06(h5n1))
485411,161670,influenza a virus (a/peregrine falcon/slovakia/vh242/2006(h5n1))
482146,161861,influenza a virus (a/buzzard/sweden/v651/06(h5n1))
452112,166069,influenza a virus (a/peregrine/denmark/6632/06(h5n1))
452107,166074,influenza a virus (a/buzzard/denmark/6370/06(h5n1))
427873,168614,influenza a virus (a/peregrine falcon/slovakia/vh246-06/2006(h5n1))
415864,169583,teita falcon adenovirus
415863,169584,orange-breasted falcon adenovirus
415853,169585,northern aplomado falcon adenovirus
415688,169600,influenza a virus (a/eagle owl/bavaria/10/2006(h5n1))
415685,169603,influenza a virus (a/buzzard/bavaria/5/2006(h5n1))
415684,169604,influenza a virus (a/buzzard/bavaria/13/2006(h5n1))
404924,170664,influenza a virus (a/eagle owl/germany/r1166/06(h5n1))
284211,180324,influenza a virus (a/peregrine falcon/hk/d0028/2004(h5n1))
121536,186803,influenza a virus (a/peregrine falcon/u.a.e./188/2384/98(h7n3))
11024,190821,highlands j virus,VHostDB
