2086357,1082,neotropic cormorant aviadenovirus
2086356,1083,neotropic cormorant coronavirus
2086349,1084,neotropic cormorant herpesvirus
2005433,11431,influenza a virus (a/cormorant/israel/1035/2016(h5n8))
1981333,13595,influenza a virus (a/heron/guangdong/c1/2013(h5n6))
1892178,26607,influenza a virus (a/egret/tarbela/narc-05n-694/2005(h9n2))
1658144,47177,influenza a virus (a/egret/peru-ch50/2010(h6n8))
1216888,97272,influenza a virus (a/egret/hunan/1/2012(h9n2))
1205921,98358,influenza a virus (a/cormorant/strilkove-kherson/63/2006(h5n1))
1159904,103914,night heron coronavirus hku19,VHostDB
1154988,104226,influenza a virus (a/heron/cambodia/tm068/2011(h5n1))
1114284,108347,influenza a virus (a/cormorant/mongolia/2/2003(h4n6))
1114283,108348,influenza a virus (a/cormorant/mongolia/5/2003(h4n6))
1114268,108363,influenza a virus (a/cormorant/mongolia/22/2004(h3n6))
680782,140637,influenza a virus (a/egret/hong kong/757.2/2002(h5n1))
658939,143949,influenza a virus (a/egret/wien/1977/2006(h5n1))
576892,149844,fregata magnificens herpesvirus
529611,155375,influenza a virus (a/egret/egypt/1162-namru3/2006(h5n1))
452947,165968,influenza a virus (a/heron/cicurug/ipb25-rs/2006(h5n1))
404909,170677,influenza a virus (a/cormorant/germany/r292/06(h5n1))
303925,179314,influenza a virus (a/egret/hong kong/757.2/2003(h5n1))
279797,180585,influenza a virus (a/egret/hong kong/757.3/2002(h5n1))
28300,189769,heron hepatitis b virus,VHostDB
