2079554,1189,equine parvovirus h
2056538,2856,influenza a virus (a/equine/wexford/0/2014(h3n8))
2056537,2857,influenza a virus (a/equine/tipperary/3/2014(h3n8))
2056536,2858,influenza a virus (a/equine/tipperary/1/2014(h3n8))
2056535,2859,influenza a virus (a/equine/meath/6/2014(h3n8))
2056534,2860,influenza a virus (a/equine/meath/5/2014(h3n8))
2056533,2861,influenza a virus (a/equine/meath/4/2014(h3n8))
2056532,2862,influenza a virus (a/equine/meath/1/2014(h3n8))
2056530,2863,influenza a virus (a/equine/louth/0/2014(h3n8))
2056529,2864,influenza a virus (a/equine/limerick/3/2010(h3n8))
2056528,2865,influenza a virus (a/equine/kilkenny/4/2014(h3n8))
2056527,2866,influenza a virus (a/equine/kilkenny/1/2015(h3n8))
2056526,2867,influenza a virus (a/equine/kilkenny/1/2014(h3n8))
2056522,2868,influenza a virus (a/equine/kildare/1/2014(h3n8))
2056520,2869,influenza a virus (a/equine/clare/2/2014(h3n8))
2056519,2870,influenza a virus (a/equine/clare/1/2014(h3n8))
2056518,2871,influenza a virus (a/equine/carlow/0/2011(h3n8))
2049514,4468,influenza a virus (a/donkey/shandong/1/2017(h3n8))
2045136,4761,influenza a virus (a/equine/montana/9564-1/2015(h3n8))
2025828,7860,equine papillomavirus
2005965,11362,influenza a virus (a/equine/mongolia/3/2013(h3n8))
2005964,11363,influenza a virus (a/equine/laplata/1/1995(h3n8))
2005963,11364,influenza a virus (a/equine/kentucky/1/1995(h3n8))
2005663,11379,influenza a virus (a/equine/oregon/78356/2012(h3n8))
2005662,11380,influenza a virus (a/equine/new york/135857/2016(h3n8))
2005661,11381,influenza a virus (a/equine/georgia/121362-16/2016(h3n8))
2005660,11382,influenza a virus (a/equine/florida/146609/2011(h3n8))
1986397,12552,influenza a virus (a/equine/yokohama/aq100/2017(h3n8))
1986191,12561,influenza a virus (a/equine/ankara/1/2013(h3n8))
1985379,12765,equine associated gemycircularvirus 1
1921693,22591,influenza a virus (a/equine/saone-et-loire/1/2015(h3n8))
1921692,22592,influenza a virus (a/equine/neuville-pres-sees/1/2011(h3n8))
1921691,22593,influenza a virus (a/equine/marseille/1/1979(h3n8))
1921690,22594,influenza a virus (a/equine/grosbois/2/1999(h3n8))
1921689,22595,influenza a virus (a/equine/grosbois/1/2003(h3n8))
1921688,22596,influenza a virus (a/equine/grosbois/1/1999(h3n8))
1921687,22597,influenza a virus (a/equine/grosbois/1/1997(h3n8))
1921686,22598,influenza a virus (a/equine/grosbois/1/1993(h3n8))
1921685,22599,influenza a virus (a/equine/grosbois/1/1984(h3n8))
1921684,22600,influenza a virus (a/equine/gironde/1/2014(h3n8))
1921683,22601,influenza a virus (a/equine/france/3/1985(h3n8))
1921682,22602,influenza a virus (a/equine/france/2/1985(h3n8))
1921681,22603,influenza a virus (a/equine/france/1/1991(h3n8))
1921680,22604,influenza a virus (a/equine/france/1/1987(h3n8))
1921679,22605,influenza a virus (a/equine/france/1/1986(h3n8))
1921678,22606,influenza a virus (a/equine/france/1/1985(h3n8))
1921677,22607,influenza a virus (a/equine/france/1/1973(h3n8))
1921676,22608,influenza a virus (a/equine/fontainebleau/1/1983(h3n8))
1921675,22609,influenza a virus (a/equine/chantilly/1/1975(h3n8))
1921674,22610,influenza a virus (a/equine/cambremer/1/2012(h3n8))
1921673,22611,influenza a virus (a/equine/cagnes-sur-mer/2/2011(h3n8))
1921672,22612,influenza a virus (a/equine/cagnes-sur-mer/2/2000(h3n8))
1921671,22613,influenza a virus (a/equine/bordeaux/1/1983(h3n8))
1921670,22614,influenza a virus (a/equine/blois/1/1983(h3n8))
1921669,22615,influenza a virus (a/equine/belfond/6-2/2009(h3n8))
1921668,22616,influenza a virus (a/equine/alfort/1/1967(h3n8))
1921667,22617,influenza a virus (a/equine/ain/1/2014(h3n8))
1912759,24134,equus caballus papillomavirus 8,VHostDB
1907172,25676,influenza a virus (a/equine/sao_paulo/8.fmvz/2015(h3n8))
1907171,25677,influenza a virus (a/equine/sao_paulo/4.fmvz/2015(h3n8))
1907170,25678,influenza a virus (a/equine/sao_paulo/32.fmvz/2015(h3n8))
1907169,25679,influenza a virus (a/equine/sao_paulo/30.fmvz/2015(h3n8))
1907168,25680,influenza a virus (a/equine/sao_paulo/25.fmvz/2015(h3n8))
1907167,25681,influenza a virus (a/equine/sao_paulo/18.fmvz/2015(h3n8))
1907166,25682,influenza a virus (a/equine/sao_paulo/15.fmvz/2015(h3n8))
1907165,25683,influenza a virus (a/equine/sao_paulo/12.fmvz/2015(h3n8))
1907164,25684,influenza a virus (a/equine/sao_paulo/11.fmvz/2015(h3n8))
1907163,25685,influenza a virus (a/equine/sao_paulo/10.fmvz/2015(h3n8))
1898085,26033,influenza a virus (a/equine/uruguay/e1918-1/2012(h3n8))
1898084,26034,influenza a virus (a/equine/argentina/e750/1999(h3n8))
1898083,26035,influenza a virus (a/equine/argentina/e652/1999(h3n8))
1898082,26036,influenza a virus (a/equine/argentina/e6424-2/2005(h3n8))
1898081,26037,influenza a virus (a/equine/argentina/e6424-1/2005(h3n8))
1898080,26038,influenza a virus (a/equine/argentina/e6189-3/2005(h3n8))
1898079,26039,influenza a virus (a/equine/argentina/e4581-3/2004(h3n8))
1898078,26040,influenza a virus (a/equine/argentina/e433/1997(h3n8))
1898077,26041,influenza a virus (a/equine/argentina/e41-2/1993(h3n8))
1898076,26042,influenza a virus (a/equine/argentina/e37-2/1993(h3n8))
1898075,26043,influenza a virus (a/equine/argentina/e37-18/1993(h3n8))
1898074,26044,influenza a virus (a/equine/argentina/e3146-1/2012(h3n8))
1898073,26045,influenza a virus (a/equine/argentina/e2397-3/2012(h3n8))
1898072,26046,influenza a virus (a/equine/argentina/e2397-2/2012(h3n8))
1898071,26047,influenza a virus (a/equine/argentina/e2357/2012(h3n8))
1898070,26048,influenza a virus (a/equine/argentina/e2345-5/2012(h3n8))
1898069,26049,influenza a virus (a/equine/argentina/e2345-1/2012(h3n8))
1898068,26050,influenza a virus (a/equine/argentina/e226/1995(h3n8))
1898067,26051,influenza a virus (a/equine/argentina/e131/1994(h3n8))
1898066,26052,influenza a virus (a/equine/argentina/e1134-7/2001(h3n8))
1891761,26678,equus caballus polyomavirus 1,VHostDB
1843738,31226,faeces associated gemycircularvirus 18,VHostDB
1734372,40228,influenza a virus (a/equine/malaysia/m201/2015(h3n8))
1729653,41796,influenza a virus (a/equine/malaysia/m201-2/2015(h3n8))
1729652,41797,influenza a virus (a/equine/malaysia/m201-1/2015(h3n8))
1714622,42936,borna disease virus 2,VHostDB
1704585,43414,influenza a virus (a/equine/sao paulo/24.19/2012(h3n8))
1704584,43415,influenza a virus (a/equine/sao paulo/16.19/2012(h3n8))
1686431,44751,equine parapoxvirus
1673633,45753,torque teno equus virus 1
1651859,47872,influenza a virus (a/equine/rome/1/2014(h3n8))
1649197,47921,influenza a virus (a/equine/tennessee/4a/2014(h3n8))
1649196,47922,influenza a virus (a/equine/tennessee/30a/2014(h3n8))
1649195,47923,influenza a virus (a/equine/tennessee/29a/2014(h3n8))
1649194,47924,influenza a virus (a/equine/tennessee/28b/2014(h3n8))
1649193,47925,influenza a virus (a/equine/tennessee/28a/2014(h3n8))
1649192,47926,influenza a virus (a/equine/tennessee/27a/2014(h3n8))
1605403,53386,non-primate hepacivirus nzp1,VHostDB
1604773,53638,influenza a virus (a/equine/guangxi/1/2008(h3n8))
1577638,59408,influenza a virus (a/equine/matybulak/10/2012(h3n8))
1577637,59409,influenza a virus (a/equine/lkz/9/2012(h3n8))
1577636,59410,influenza a virus (a/equine/kostanay/9/2012(h3n8))
1577635,59411,influenza a virus (a/equine/baizak/09/2012(h3n8))
1561960,62006,influenza a virus (a/equine/pulawy/1/2008(h3n8))
1536685,63713,influenza a virus (a/equine/or/78356/2012(h3n8))
1536684,63714,influenza a virus (a/equine/fl/146609/2011(h3n8))
1507920,66798,influenza a virus (a/equine/sao paulo/1.19/2012(h3n8))
1482039,68962,influenza a virus (a/equine/suffolk/1/1989(h3n8))
1482038,68963,influenza a virus (a/equine/newmarket/1/1979(h3n8))
1471402,69970,influenza a virus (a/equine/north rhine westphalia/1/2014(h3n8))
1463813,71036,equine pegivirus
1457347,72340,influenza a virus (a/equine/uruguay/e-1918-1/2012(h3n8))
1457346,72341,influenza a virus (a/equine/argentina/e-2397-3/2012(h3n8))
1457345,72342,influenza a virus (a/equine/argentina/e-2345-1/2012(h3n8))
1417962,75762,influenza a virus (a/equine/xuzhou/01/2013 (h3n8))
1416349,75865,equine hepacivirus jpn3/japan/2013,VHostDB
1406386,76940,influenza a virus (a/equine/south kazakhstan/236/2012(h3n8))
1381720,78697,influenza a virus (a/equine/herbern/1/2013(h3n8))
1353939,79878,influenza a virus (a/equine/tiaret/9/2011(h3n8))
1353938,79879,influenza a virus (a/equine/tiaret/8/2011(h3n8))
1353937,79880,influenza a virus (a/equine/tiaret/7/2011(h3n8))
1353936,79881,influenza a virus (a/equine/tiaret/6/2011(h3n8))
1353935,79882,influenza a virus (a/equine/tiaret/5/2011(h3n8))
1353934,79883,influenza a virus (a/equine/tiaret/4/2011(h3n8))
1353933,79884,influenza a virus (a/equine/tiaret/3/2011(h3n8))
1353932,79885,influenza a virus (a/equine/tiaret/2/2011(h3n8))
1353931,79886,influenza a virus (a/equine/tiaret/10/2011(h3n8))
1353930,79887,influenza a virus (a/equine/tiaret/1/2011(h3n8))
1334823,82028,influenza a virus (a/equine/worcestershire/1/2012(h3n8))
1334822,82029,influenza a virus (a/equine/lincolnshire/2007(h3n8))
1334821,82030,influenza a virus (a/equine/lincolnshire/2006(h3n8))
1334820,82031,influenza a virus (a/equine/lanarkshire/2009(h3n8))
1334819,82032,influenza a virus (a/equine/kentucky/5/2012(h3n8))
1334818,82033,influenza a virus (a/equine/kentucky/4/2012(h3n8))
1334817,82034,influenza a virus (a/equine/east renfrewshire/1/2011(h3n8))
1334816,82035,influenza a virus (a/equine/dorset/2009(h3n8))
1334815,82036,influenza a virus (a/equine/aboyne/2005(h3n8))
1334814,82037,influenza a virus (a/equine/newmarket/1979(h3n8))
1332518,82259,influenza a virus (a/equine/worcestershire/4/2012(h3n8))
1332517,82260,influenza a virus (a/equine/worcestershire/3/2012(h3n8))
1332516,82261,influenza a virus (a/equine/worcestershire/2/2012(h3n8))
1332515,82262,influenza a virus (a/equine/worcestershire/1/2010(h3n8))
1332514,82263,influenza a virus (a/equine/texas/1/2012(h3n8))
1332513,82264,influenza a virus (a/equine/surrey/4/2010(h3n8))
1332512,82265,influenza a virus (a/equine/surrey/2/2010(h3n8))
1332511,82266,influenza a virus (a/equine/surrey/1/2011(h3n8))
1332510,82267,influenza a virus (a/equine/shropshire/2010(h3n8))
1332509,82268,influenza a virus (a/equine/roxburghshire/1/2012(h3n8))
1332508,82269,influenza a virus (a/equine/pennsylvania/6-15/2011(h3n8))
1332507,82270,influenza a virus (a/equine/pennsylvania/5-5/2011(h3n8))
1332506,82271,influenza a virus (a/equine/pennsylvania/3-7/2011(h3n8))
1332505,82272,influenza a virus (a/equine/pennsylvania/2-5/2011(h3n8))
1332504,82273,influenza a virus (a/equine/pennsylvania/1-2/2011(h3n8))
1332503,82274,influenza a virus (a/equine/oregon/1/2010(h3n8))
1332502,82275,influenza a virus (a/equine/nottinghamshire/1/2010(h3n8))
1332501,82276,influenza a virus (a/equine/new york/1/2011(h3n8))
1332500,82277,influenza a virus (a/equine/lincolnshire/1/2010(h3n8))
1332499,82278,influenza a virus (a/equine/lanarkshire/2/2011(h3n8))
1332498,82279,influenza a virus (a/equine/lanarkshire/1/2011(h3n8))
1332497,82280,influenza a virus (a/equine/lanarkshire/1/2010(h3n8))
1332496,82281,influenza a virus (a/equine/kentucky/4/2011(h3n8))
1332495,82282,influenza a virus (a/equine/kentucky/3/2012(h3n8))
1332494,82283,influenza a virus (a/equine/kentucky/2/2012(h3n8))
1332493,82284,influenza a virus (a/equine/kentucky/1/2012(h3n8))
1332492,82285,influenza a virus (a/equine/kentucky/1/2011(h3n8))
1332491,82286,influenza a virus (a/equine/kent/1/2011(h3n8))
1332490,82287,influenza a virus (a/equine/hampshire/2/2010(h3n8))
1332489,82288,influenza a virus (a/equine/hampshire/1/2010(h3n8))
1332488,82289,influenza a virus (a/equine/east renfrewshire/2/2011(h3n8))
1332487,82290,influenza a virus (a/equine/dubai/3/2012(h3n8))
1332486,82291,influenza a virus (a/equine/dubai/2/2012(h3n8))
1332485,82292,influenza a virus (a/equine/dubai/1/2012(h3n8))
1332484,82293,influenza a virus (a/equine/devon/2/2011(h3n8))
1332483,82294,influenza a virus (a/equine/devon/1/2011(h3n8))
1332482,82295,influenza a virus (a/equine/county durham/2/2012(h3n8))
1332481,82296,influenza a virus (a/equine/cheshire/1/2011(h3n8))
1332480,82297,influenza a virus (a/equine/california/2/2010(h3n8))
1328519,82990,influenza a virus (a/equine/heilongjiang/ss1/2013(h3n8))
1316844,86133,influenza a virus (a/equine/kilkenny/5/2012(h3n8))
1316843,86134,influenza a virus (a/equine/kilkenny/4/2012(h3n8))
1316842,86135,influenza a virus (a/equine/kilkenny/3/2012(h3n8))
1316841,86136,influenza a virus (a/equine/kilkenny/2011(h3n8))
1316840,86137,influenza a virus (a/equine/kilkenny/2/2012(h3n8))
1316839,86138,influenza a virus (a/equine/kilkenny/1/2012(h3n8))
1316838,86139,influenza a virus (a/equine/kildare/9/2010(h3n8))
1316837,86140,influenza a virus (a/equine/kildare/8/2010(h3n8))
1316836,86141,influenza a virus (a/equine/kildare/7/2010(h3n8))
1316835,86142,influenza a virus (a/equine/kildare/6/2010(h3n8))
1316834,86143,influenza a virus (a/equine/kildare/5/2012(h3n8))
1316833,86144,influenza a virus (a/equine/kildare/5/2010(h3n8))
1316832,86145,influenza a virus (a/equine/kildare/4/2012(h3n8))
1316831,86146,influenza a virus (a/equine/kildare/4/2010(h3n8))
1316830,86147,influenza a virus (a/equine/kildare/3/2012(h3n8))
1316829,86148,influenza a virus (a/equine/kildare/3/2010(h3n8))
1316828,86149,influenza a virus (a/equine/kildare/2/2012(h3n8))
1316827,86150,influenza a virus (a/equine/kildare/2/2010(h3n8))
1316826,86151,influenza a virus (a/equine/kildare/1/2012(h3n8))
1316825,86152,influenza a virus (a/equine/kildare/1/2010(h3n8))
1316824,86153,influenza a virus (a/equine/cork/2/2012(h3n8))
1316823,86154,influenza a virus (a/equine/cork/1/2012(h3n8))
1316822,86155,influenza a virus (a/equine/clare/3/2012(h3n8))
1316821,86156,influenza a virus (a/equine/clare/2/2012(h3n8))
1316820,86157,influenza a virus (a/equine/clare/1/2012(h3n8))
1316819,86158,influenza a virus (a/equine/carlow/2011(h3n8))
1307803,87084,equine pegivirus 1,VHostDB
1307119,87124,theiler's disease-associated virus,VHostDB
1294603,88784,influenza a virus (a/equine/sao paulo/ib19/2012(h3n8))
1291047,89221,influenza a virus (a/equine/rastatt/1/2012(h3n8))
1281455,90630,equine hepacivirus
1256512,93572,influenza a virus (a/equine/yokohama/aq6/2012(h3n8))
1245470,94099,influenza a virus (a/equine/kirgiziya/26/1974(h7n7))
1235430,95215,equus caballus papillomavirus 7,VHostDB
