2116373,741,chinese softshell turtle hepacivirus
2116372,742,chinese broad-headed pond turtle hepacivirus
2116345,755,chinese broad-headed pond turtle arterivirus
2116326,772,chinese broad-headed pond turtle astro-like virus
2116177,806,chinese softshell turtle picornavirus 2
2116176,807,chinese softshell turtle picornavirus 1
2116175,808,chinese broad-headed pond turtle picornavirus 2
2116174,809,chinese broad-headed pond turtle picornavirus 1
2079459,1196,emydoidea herpesvirus 1
2058161,2694,pelodiscus sinensis picornavirus 1
2019557,8923,turtle herpesvirus
1883458,27898,red footed tortoise adenovirus 2
1883457,27899,red footed tortoise adenovirus 1
1881633,28122,spur-thighed tortoise adenovirus 1
1766570,37447,box turtle ranavirus
1705352,43391,trionyx sinensis hemorrhagic syndrome virus
1585660,59117,tortoise ranavirus,VHostDB
1582275,59130,terrapene herpesvirus 2
1578826,59339,tortoise picornavirus,VHostDB
1561226,62238,testudinid herpesvirus 3,VHostDB
1536431,63739,glyptemys herpesvirus
1483681,68712,tortoise rafivirus a,VHostDB
1474808,69589,terrapene herpesvirus 1
1215920,97277,pancake tortoise adenovirus
1215919,97278,eastern box turtle adenovirus
1194096,100755,influenza a virus (a/turtle dove/guangdong/300/2005(h5n1))
659374,143842,tortoise paramyxovirus
656191,144662,tortoise herpesvirus 4
575913,149950,sea turtle tornovirus 1,VHostDB
572143,150223,box turtle adenovirus 1
542376,153444,tortoise herpesvirus allmi1
485242,161674,chelonia mydas papillomavirus 1,VHostDB
485241,161675,caretta caretta papillomavirus 1,VHostDB
461347,164625,sulawesi tortoise adenovirus 1
365144,174790,soft-shelled turtle iridovirus,VHostDB
314498,178707,tortoise herpesvirus 2
257469,181469,turtle herpesviruses
256817,181476,fibropapilloma-associated turtle herpesvirus
179532,184609,fibropapillomatosis associated chelonia mydas herpesvirus
95547,187490,tortoise herpesvirus
90960,187557,chelonia mydas herpesvirus
90959,187558,caretta caretta herpesvirus
89464,187570,testudo hermanni ranavirus,VHostDB
77836,187793,olive ridley turtle herpesvirus
70565,188008,florida green turtle herpesvirus
70564,188009,hawaiian green turtle herpesvirus,VHostDB
70171,188015,loggerhead turtle herpesvirus
70170,188016,green turtle herpesvirus
56053,188568,terrapene carolina ranavirus
56052,188569,testudo horsfieldi ranavirus
