2057942,2812,pleurochrysis carterae circular virus
1421424,75637,emiliania huxleyi virus 18
1421423,75638,emiliania huxleyi virus 164
1421422,75639,emiliania huxleyi virus 156
1421421,75640,emiliania huxleyi virus 145
1002165,117820,emiliania huxleyi virus v2
1002164,117821,emiliania huxleyi virus 209
1002163,117822,emiliania huxleyi virus 206
1002162,117823,emiliania huxleyi virus 204
889960,124398,emiliania huxleyi virus 43
756286,131629,emiliania huxleyi virus v1
754068,132000,emiliania huxleyi virus ps401
751983,132177,uncultured emiliania huxleyi virus
654925,144841,emiliania huxleyi virus 86 (isolate united kingdom)
187397,184250,emiliania huxleyi virus 99b1
181217,184561,emiliania huxleyi virus 88
181216,184562,emiliania huxleyi virus 84
181215,184563,emiliania huxleyi virus 208
181214,184564,emiliania huxleyi virus 207
181213,184565,emiliania huxleyi virus 205
181212,184566,emiliania huxleyi virus 203
181211,184567,emiliania huxleyi virus 202
181210,184568,emiliania huxleyi virus 201
181209,184569,emiliania huxleyi virus 163
181208,184570,emiliania huxleyi virus sp.
181082,184577,emiliania huxleyi virus 86,VHostDB
