1859492,30412,kaumoebavirus,VHostDB
1249676,93674,grapevine endophyte alphaendornavirus,VHostDB
1247379,93884,moumouvirus goulette,VHostDB
1235314,95221,megavirus lba,VHostDB
1128140,107457,megavirus courdo11,VHostDB
649893,145504,giardia lamblia virus isolate wang
353633,175544,giardia canis virus,VHostDB
284689,180302,amasya cherry disease-associated mycovirus,VHostDB
284688,180303,cherry chlorotic rusty spot associated partitivirus,VHostDB
284687,180304,amasya cherry disease associated chrysovirus,VHostDB
29255,189729,giardia lamblia virus,VHostDB
