2211155,43,sturnira lilium adenovirus
2136283,542,lily yellow mosaic virus
2058396,2693,paris mosaic necrosis virus
1675556,45669,paris vietnamensis mottle virus
1606500,53330,sturnira lilium polyomavirus 1
1260548,93441,spider lily necrotic spot virus
1093901,109682,lily virus y
1046301,114683,lily virus a
937587,122114,trillium virus y
693450,138333,alstroemeria necrotic streak virus
598671,148319,trillium crinkled leaf virus
483269,161757,glory lily mosaic virus
388066,172398,paris polyphylla virus x
332471,177736,fritillary virus y,VHostDB
310680,178983,tricyrtis potyvirus
309542,178998,calla lily chlorotic spot virus
299200,179567,thunberg fritillary mosaic virus,VHostDB
260375,181407,amazon lily mosaic virus
260374,181408,alstroemeria mosaic virus
167132,185184,tulip virus x,VHostDB
92693,187537,lily latent virus
35280,189381,pelargonium leaf curl virus,VHostDB
32624,189482,lily mottle virus,VHostDB
12201,190036,gloriosa stripe mosaic virus
12194,190043,lily virus x,VHostDB
12173,190061,lily symptomless virus,VHostDB
