1505738,67229,ludwigia leaf distortion betasatellite [india:ludhiana:okra:2014]
1175507,102158,ludwigia leaf curl distortion betasatellite
983307,119905,fuchsia latent virus
562747,151339,ludwigia leaf distortion betasatellite
508756,158409,ludwigia leaf distortion betasatellite [india:kaisarganj:hibiscus:2006]
508754,158411,ludwigia leaf distortion betasatellite [india:bhangha:hibiscus:2006]
508753,158412,ludwigia leaf distortion betasatellite [india:bahraich:hibiscus:2006]
390444,172066,ludwigia yellow vein vietnam virus
337826,177132,alternanthera yellow vein virus,VHostDB
325113,178246,ludwigia yellow vein virus-associated dna beta,VHostDB
325112,178247,ludwigia yellow vein china virus
325111,178248,ludwigia yellow vein virus,VHostDB
