2073163,1330,pepper enamovirus
2052172,3434,pepper leafroll chlorosis virus
2010222,10066,piper chlorosis virus
1965355,15683,pepper vein yellows virus 5
1828512,32358,pepper yellow leaf curl virus pssws-14
1828509,32359,pepper yellow leaf curl virus tdws-21
1796097,34737,pepper severe mottle virus
1772264,37061,pepper mild mottle virus ou2/2014/ca
1387160,78376,pepper leafroll virus
1313355,86489,pepper yellow leaf curl indonesia virus a-[indonesia:java:2010]
1279081,91174,piper dna virus 2
1279080,91175,piper dna virus 1
1219878,97012,pepper leaf curl varanasi virus
1143713,105541,pepper leaf curl lahore virus-[solanum capsicastrum]
1082745,111761,pepper leaf curl virus isolate mirzapur
1082744,111762,pepper leaf curl virus isolate maharajganj
1082743,111763,pepper leaf curl virus isolate gorakhpur
1078947,111983,pepper necrotic spot virus
1003836,117683,pepper leaf curl yunnan virus
1000674,118134,pepper leaf curl bangladesh virus-india [india/mograhat/2007]
1000673,118135,pepper leaf curl bangladesh virus-india [india/jabalpur/2008]
1000672,118136,pepper leaf curl bangladesh virus-india [india/ghazipur/2007]
1000671,118137,pepper leaf curl bangladesh virus-india [india/coimbatore/2008]
1000670,118138,pepper leaf curl bangladesh virus-india
911731,123418,jatropha mosaic india virus-chilli pepper
911729,123419,indian cassava mosaic virus-chilli pepper
911728,123420,sri lankan cassava mosaic virus-chilli pepper
884613,125247,pepper leaf curl lahore virus-[pakistan:lahore2:2004]
881944,125523,pepper yellow leaf curl virus
698400,137765,pepper yellows virus
554667,152061,pepper yellow dwarf virus - new mexico
554020,152074,pepper leaf curl bangladesh virus-gorakhpur
435298,167794,pepper curly top virus
428379,168579,pepper mild mottle virus strain israel
398060,171698,pepper yellow leaf curl indonesia virus-[ageratum]
398059,171699,pepper yellow leaf curl indonesia virus-[tomato3]
369643,174571,pepper cryptic virus 1
348799,176309,cuban pepper begomovirus
341713,176949,pepper leaf curl pakistan virus
340194,176995,tomato leaf curl new delhi virus - chili pepper
337956,177129,bell pepper leaf curl virus
311379,178936,tomato leaf curl new delhi virus-chilli pepper
292478,179808,pepper yellow leaf curl indonesia virus-[tomato2]
292472,179813,pepper yellow leaf curl indonesia virus-[tomato1]
262957,181251,piper yellow mottle virus,VHostDB
223306,182659,pepper leaf curl virus-[malaysia]
223304,182661,pepper huasteco yellow vein virus-[sinaloa]
223302,182663,pepper golden mosaic virus-[cr]
138663,186274,pepper mild mottle virus (strain japan)
138306,186286,pepper mild mottle virus (strain italian)
138305,186287,pepper mild mottle virus (strain p2)
138304,186288,pepper mild mottle virus (strain p1)
138303,186289,pepper mild mottle virus (strain p0)
76567,187824,pepper yellow vein virus
75572,187847,pepper mild tigre virus
47837,188700,pepper golden mosaic virus - [mexico]
31745,189527,pepper mild mottle virus (strain spain)
31737,189534,pepper mottle virus (california isolate)
31603,189645,pepper geminivirus
