2185086,127,blackberry virus a
2171759,276,cherry virus f
2170544,325,apple luteovirus 1
2164103,399,apple rubbery wood virus 2
2164102,400,apple rubbery wood virus 1
2163941,420,little cherry virus a
2116683,637,cherry metavlitos virus
2108357,901,cherry virus b
2038685,5977,peach leaf pitting-associated virus
2025800,7876,japanese apricot associated luteovirus
2022321,8397,prunus geminivirus a
2020956,8584,jujube mosaic-associated virus,VHostDB
2006498,11127,peach associated luteovirus,VHostDB
1980433,13865,rose rosette emaravirus,VHostDB
1980431,13867,raspberry leaf blotch emaravirus
1980426,13872,european mountain ash ringspot-associated emaravirus,VHostDB
1968822,15470,pyrus pyrifolia cryptic virus
1966378,15611,blackberry leaf mottle associated virus
1958978,17078,peach virus t
1955730,17124,peach virus d,VHostDB
1912598,24135,cherry associated luteovirus,VHostDB
1874886,28496,ramie mosaic yunnan virus,VHostDB
1855510,30649,prunus virus f,VHostDB
1841147,31391,bhindi yellow vein alphasatellite,VHostDB
1807810,33870,cherry gardens virus
1779339,36236,apple necrotic mosaic virus,VHostDB
1778580,36299,nectarine marafivirus m,VHostDB
1667230,46075,caucasus prunus virus,VHostDB
1659298,46737,nectarine stem pitting-associated virus,VHostDB
1633752,49823,apple geminivirus pl-2015,VHostDB
1631303,49964,mulberry mosaic dwarf associated virus,VHostDB
1628899,50081,temperate fruit decay-associated virus,VHostDB
1564903,61725,strawberry polerovirus 1,VHostDB
1543207,62983,rose leaf rosette-associated virus,VHostDB
1490026,68420,blackberry virus f,VHostDB
1472425,69826,prunus virus t,VHostDB
1424279,75455,cherry twisted leaf associated virus,VHostDB
1381464,78726,blackberry vein banding-associated virus,VHostDB
1367126,79459,pouzolzia mosaic guangdong virus
1343920,81381,apricot vein clearing associated virus,VHostDB
1312929,86561,cherry rusty mottle associated virus,VHostDB
1291658,89192,rose yellow leaf virus,VHostDB
1266451,92634,mulberry vein banding virus,VHostDB
1243178,94593,rubus canadensis virus 1,VHostDB
1227557,96617,mulberry badnavirus 1,VHostDB
1225069,96808,pouzolzia golden mosaic virus,VHostDB
1213588,97756,rose yellow vein virus,VHostDB
1211388,97855,apple green crinkle associated virus,VHostDB
1177630,101971,american hop latent virus,VHostDB
1115692,108071,cannabis cryptic virus,VHostDB
1048434,114590,rose yellow mosaic virus,VHostDB
1043184,114785,blackberry virus e,VHostDB
907191,124090,raspberry latent virus,VHostDB
882768,125492,fig cryptic virus,VHostDB
875323,126296,rose leaf curl virus,VHostDB
758677,131497,raspberry vein chlorosis virus
686949,139143,blackberry virus y usa/c3ark
675077,141540,plum bark necrosis stem pitting-associated virus,VHostDB
670883,142036,blackberry virus s,VHostDB
652675,145291,raspberry bushy dwarf virus isolate r15
651356,145349,apple stem pitting virus pa66
587197,148892,plum pox virus strain marcus,VHostDB
548908,152560,fig fleck-associated virus,VHostDB
535898,154139,rosa rugosa leaf distortion virus,VHostDB
492502,161170,rose cryptic virus 1,VHostDB
486809,161612,ramie mosaic virus,VHostDB
479727,162075,amasya cherry disease-associated virus satellite rnas
474454,162826,rose spring dwarf-associated virus,VHostDB
474453,162827,rosa multiflora cryptic virus
471498,163024,peach chlorotic mottle virus,VHostDB
463392,164157,black raspberry virus f,VHostDB
463391,164158,black raspberry cryptic virus
453141,165948,cherry chlorotic rusty spot associated small satellite-like dsrna c,VHostDB
453140,165949,cherry chlorotic rusty spot associated small satellite-like dsrna b,VHostDB
453139,165950,cherry chlorotic rusty spot associated small satellite-like dsrna a,VHostDB
447365,166217,apricot chlorotic leaf spot virus
404196,170693,blackberry yellow vein-associated virus,VHostDB
399314,171651,strawberry chlorotic fleck-associated virus,VHostDB
378833,173818,sowbane mosaic virus,VHostDB
371715,174264,blackberry virus z
371714,174265,blackberry virus x
367301,174679,black raspberry necrosis virus,VHostDB
351428,176053,asian prunus virus 3,VHostDB
351427,176054,asian prunus virus 1,VHostDB
351426,176055,asian prunus virus 2,VHostDB
344867,176564,amasya cherry disease-associated virus satellite rna
340196,176993,stocky prune virus,VHostDB
339420,177061,blackberry chlorotic ringspot virus,VHostDB
335204,177455,fragaria chiloensis cryptic virus,VHostDB
326941,178118,raspberry leaf mottle virus,VHostDB
323118,178273,blackberry virus y,VHostDB
307677,179065,apricot pseudo-chlorotic leaf spot virus,VHostDB
304193,179310,spiraea potyvirus
281921,180541,raspberry ringspot virus strain cherry
269213,180996,humulus japonicus latent virus,VHostDB
255238,181582,fragaria chiloensis latent virus,VHostDB
243563,181841,strawberry necrotic shock virus,VHostDB
227507,182408,strawberry pallidosis-associated virus,VHostDB
217686,183072,little cherry virus 1,VHostDB
202566,183653,cherry rasp leaf virus,VHostDB
198310,183801,rubus yellow net virus,VHostDB
183671,184524,prunus mume foveavirus
183585,184529,peach mosaic virus,VHostDB
183584,184530,apricot trichovirus
167161,185180,strawberry mottle virus,VHostDB
157271,185587,spiraea yellow leafspot virus
154339,185810,little cherry virus 2,VHostDB
151336,185888,apricot stem pitting associated virus
145398,186090,peach sooty ringspot virus
145397,186091,peach asteroid spot virus,VHostDB
142843,186199,hop mosaic virus,VHostDB
136418,186333,apricot latent ringspot virus,VHostDB
135656,186360,strawberry crinkle virus,VHostDB
134632,186378,american plum line pattern virus,VHostDB
131226,186576,cherry mottle leaf virus,VHostDB
129143,186661,cherry necrotic rusty mottle virus,VHostDB
104263,187271,hop latent virus,VHostDB
101688,187334,apple latent spherical virus,VHostDB
75387,187850,apricot latent virus,VHostDB
73473,187889,apple chlorotic leaf spot virus (isolate plum p863)
73472,187890,apple chlorotic leaf spot virus (isolate apple)
65467,188155,cherry green ring mottle virus,VHostDB
65068,188160,peach rosette mosaic virus,VHostDB
48201,188686,maclura mosaic virus
47903,188694,strawberry vein banding virus,VHostDB
42882,188897,cherry virus a,VHostDB
36402,189260,apple stem grooving virus (strain p-209)
36399,189263,raspberry ringspot virus (strain s)
35351,189323,pear vein yellows virus,VHostDB
35350,189324,apple stem pitting virus,VHostDB
31738,189533,plum pox virus strain el amar,VHostDB
28351,189752,strawberry latent ringspot virus,VHostDB
28347,189755,apple stem grooving virus,VHostDB
12809,189796,raspberry ringspot virus,VHostDB
12451,189854,raspberry bushy dwarf virus,VHostDB
12280,189964,tomato ringspot virus,VHostDB
12271,189971,arabis mosaic virus,VHostDB
12211,190026,plum pox virus,VHostDB
12187,190047,strawberry mild yellow edge virus,VHostDB
12175,190059,apple chlorotic leaf spot virus,VHostDB
12145,190087,tomato bushy stunt virus,VHostDB
