.\Archaea, ,.\Archaea\Candidatus Nanohaloarchaeota, ,.\Archaea\Candidatus Nanohaloarchaeota\Nanohaloarchaea, ,,,,,,,
Candidatus Nanohaloarchaeota,1,Nanohaloarchaea,1,.\Archaea\Crenarchaeota\Thermoprotei, ,,,,total ,190957,,0.938090774
Thaumarchaeota,1,.\Archaea\Crenarchaeota, ,.\Archaea\Euryarchaeota\Halobacteria, ,,,,,179135,,
Euryarchaeota,53,Thermoprotei,77,.\Archaea\Euryarchaeota\Methanobacteria, ,,,,,,,
Crenarchaeota,77,.\Archaea\Euryarchaeota, ,.\Archaea\Euryarchaeota\Methanomicrobia, ,,,,,,,
NA,2,Methanomicrobia,1,.\Archaea\Euryarchaeota\Thermococci, ,,,,,,,
.\Bacteria, ,Thermococci,2,.\Archaea\NA\NA, ,,,,,,,
Tenericutes,15,Halobacteria,46,.\Archaea\Thaumarchaeota\Nitrososphaeria, ,,,,,,,
Chlamydiae,8,Methanobacteria,4,.\Bacteria\Actinobacteria\Actinobacteria, ,,,,,,,
Spirochaetes,9,.\Archaea\NA, ,.\Bacteria\Aquificae\Aquificae, ,,,,,,,
Planctomycetes,1,NA,2,.\Bacteria\Bacteroidetes\Bacteroidia, ,,,,,,,
Actinobacteria,1896,.\Archaea\Thaumarchaeota, ,.\Bacteria\Bacteroidetes\Flavobacteriia, ,,,,,,,
Thermotogae,3,Nitrososphaeria,1,.\Bacteria\Bacteroidetes\NA, ,,,,,,,
Aquificae,1,.\Bacteria\Actinobacteria, ,.\Bacteria\Chlamydiae\Chlamydiia, ,,,,,,,
Verrucomicrobia,1,Actinobacteria,1896,.\Bacteria\Cyanobacteria\NA, ,,,,,,,
Fusobacteria,3,.\Bacteria\Aquificae, ,.\Bacteria\Deinococcus-Thermus\Deinococci, ,,,,,,,
Deinococcus-Thermus,18,Aquificae,1,.\Bacteria\Firmicutes\Bacilli, ,,,,,,,
Firmicutes,1724,.\Bacteria\Bacteroidetes, ,.\Bacteria\Firmicutes\Clostridia, ,,,,,,,
Proteobacteria,3538,Bacteroidia,5,.\Bacteria\Firmicutes\Erysipelotrichia, ,,,,,,,
Cyanobacteria,782,Flavobacteriia,92,.\Bacteria\Firmicutes\Negativicutes, ,,,,,,,
Bacteroidetes,108,NA,11,.\Bacteria\Fusobacteria\Fusobacteriia, ,,,,,,,
NA,3,.\Bacteria\Chlamydiae, ,.\Bacteria\NA\NA, ,,,,,,,
.\Eukaryote, ,Chlamydiia,8,.\Bacteria\Planctomycetes\Planctomycetia, ,,,,,,,
Mucoromycota,9,.\Bacteria\Cyanobacteria, ,.\Bacteria\Proteobacteria\Acidithiobacillia, ,,,,,,,
Picozoa,1,NA,782,.\Bacteria\Proteobacteria\Alphaproteobacteria, ,,,,,,,
Streptophyta,3960,.\Bacteria\Deinococcus-Thermus, ,.\Bacteria\Proteobacteria\Betaproteobacteria, ,,,,,,,
Ctenophora,5,Deinococci,18,.\Bacteria\Proteobacteria\Deltaproteobacteria, ,,,,,,,
Chordata,166658,.\Bacteria\Firmicutes, ,.\Bacteria\Proteobacteria\Epsilonproteobacteria, ,,,,,,,
Echinodermata,11,Negativicutes,1,.\Bacteria\Proteobacteria\Gammaproteobacteria, ,,,,,,,
Arthropoda,2145,Erysipelotrichia,2,.\Bacteria\Proteobacteria\NA, ,,,,,,,
Mollusca,715,Clostridia,82,.\Bacteria\Proteobacteria\Oligoflexia, ,,,,,,,
Annelida,38,Bacilli,1639,.\Bacteria\Spirochaetes\Spirochaetia, ,,,,,,,
Nematoda,46,.\Bacteria\Fusobacteria, ,.\Bacteria\Tenericutes\Mollicutes, ,,,,,,,
Platyhelminthes,5,Fusobacteriia,3,.\Bacteria\Thermotogae\Thermotogae, ,,,,,,,
Cnidaria,15,.\Bacteria\NA, ,.\Bacteria\Verrucomicrobia\Opitutae, ,,,,,,,
Porifera,42,NA,3,.\Eukaryote\Annelida\Clitellata, ,,,,,,,
