2004968,11524,sewage derived gemykibivirus 2
2004967,11525,sewage derived gemykibivirus 1
1985428,12720,sewage derived gemygorvirus 1
1985418,12727,sewage derived gemykrogvirus 1
1985411,12733,sewage derived gemycircularvirus 5
1985410,12734,sewage derived gemycircularvirus 4
1985409,12735,sewage derived gemycircularvirus 3
1985408,12736,sewage derived gemycircularvirus 2
1985407,12737,sewage derived gemycircularvirus 1
1592104,58298,sewage-associated circular dna virus-37
1592103,58299,sewage-associated circular dna virus-36
1592102,58300,sewage-associated circular dna virus-35
1592101,58301,sewage-associated circular dna virus-34
1592100,58302,sewage-associated circular dna virus-33
1592099,58303,sewage-associated circular dna virus-32
1592098,58304,sewage-associated circular dna virus-31
1592097,58305,sewage-associated circular dna virus-30
1592096,58306,sewage-associated circular dna virus-29
1592095,58307,sewage-associated circular dna virus-28
1592094,58308,sewage-associated circular dna virus-27
1592093,58309,sewage-associated circular dna virus-26
1592092,58310,sewage-associated circular dna virus-25
1592091,58311,sewage-associated circular dna virus-24
1592090,58312,sewage-associated circular dna virus-23
1592089,58313,sewage-associated circular dna virus-22
1592088,58314,sewage-associated circular dna virus-21
1592087,58315,sewage-associated circular dna virus-20
1592086,58316,sewage-associated circular dna virus-19
1592085,58317,sewage-associated circular dna virus-18
1592084,58318,sewage-associated circular dna virus-17
1592083,58319,sewage-associated circular dna virus-16
1592082,58320,sewage-associated circular dna virus-15
1592081,58321,sewage-associated gemycircularvirus 1
1519409,65093,sewage-associated gemycircularvirus-10a
1519408,65094,sewage associated gemycircularvirus 3
1519407,65095,sewage-associated gemycircularvirus 2
1519406,65096,sewage-associated gemycircularvirus 11
1519404,65098,sewage-associated gemycircularvirus 9
1519403,65099,sewage-associated gemycircularvirus 8
1519402,65100,sewage-associated gemycircularvirus-7a
1519401,65101,sewage-associated gemycircularvirus 6
1519400,65102,sewage-associated gemycircularvirus 5
1519399,65103,sewage-associated gemycircularvirus 4
1519391,65111,sewage-associated circular dna virus-2
1408898,76432,kobuvirus sewage aichi
1224524,96832,salivirus sewage bangkok
1224522,96833,kobuvirus sewage kathmandu
689406,138882,sewage associated circovirus-like sequence
689405,138883,sewage associated circovirus
267429,181095,unidentified sewage enterovirus
35237,189415,"dsdna viruses, no rna stage"
