2049890,4245,haloarcula virus hciv1
1987118,12490,haloarcula virus his2
1987105,12494,haloarcula virus hhpv2
1987104,12495,haloarcula virus hhpv1
1980944,13674,halobacterium virus phih
1980140,14001,haloarcula hispanica pleomorphic virus 4
1879051,28493,haloarcula hispanica pleomorphic virus 3
1735722,40186,haloarcula californiae icosahedral virus 1,VHostDB
1442594,73869,haloarcula hispanica pleomorphic virus 2,VHostDB
1282967,90554,haloarcula hispanica virus ph1,VHostDB
1273751,92114,halovirus hhtv-2,VHostDB
1273750,92115,halovirus hhtv-1,VHostDB
1273748,92117,halovirus hctv-5,VHostDB
1273747,92118,halovirus hctv-2,VHostDB
1273746,92119,halovirus hctv-1,VHostDB
1262530,92875,halovirus hstv-1,VHostDB
1262528,92876,halovirus hvtv-1,VHostDB
1154689,104246,haloarcula hispanica icosahedral virus 2,VHostDB
710112,136145,haloarcula hispanica pleomorphic virus 1,VHostDB
326574,178143,haloarcula hispanica virus sh1,VHostDB
169684,185074,halobacterium phage phih
128710,186687,his2 virus,VHostDB
128708,186689,his 1 virus,VHostDB
