1987107,12492,halorubrum virus hrpv3
1987103,12496,halorubrum virus hrpv6
1987102,12497,halorubrum virus hrpv2
1987101,12498,halorubrum virus hrpv1
1273755,92110,halovirus hrtv-8,VHostDB
1273754,92111,halovirus hrtv-7,VHostDB
1273753,92112,halovirus hrtv-5,VHostDB
1273752,92113,halovirus hrtv-4,VHostDB
1262527,92877,halovirus hstv-2,VHostDB
1156721,104140,halorubrum pleomorphic virus 6,VHostDB
1156720,104141,halorubrum pleomorphic virus 3,VHostDB
1156719,104142,halorubrum pleomorphic virus 2,VHostDB
889959,124399,halorubrum phage gnf2
754066,132002,halorubrum phage cgphi46,VHostDB
634168,147058,halorubrum pleomorphic virus 1,VHostDB
416419,169533,archaeal bj1 virus,VHostDB
33771,189418,halorubrum phage hf2,VHostDB
