2202248,51,listeria phage psu-vkh-lp041
2202247,52,listeria phage psu-vkh-lp040
2202246,53,listeria phage psu-vkh-lp019
1921436,22654,listeria virus psa
1921435,22655,listeria virus lp302
1921130,22674,listeria virus p70
1921129,22675,listeria virus lp114
1921128,22676,listeria virus lp110
1921127,22677,listeria virus lp37
1921126,22678,listeria virus lp26
1698526,44200,listeria phage wil-3
1698525,44201,listeria phage wil-2
1633782,49822,listeria phage lwp01
1591073,58348,listeria phage vb_lmos_293,VHostDB
1591072,58349,listeria phage vb_lmos_188,VHostDB
1541821,63080,listeria phage wil-1,VHostDB
1486422,68584,listeria phage list-36,VHostDB
1486421,68585,listeria phage lmsp-25,VHostDB
1486419,68586,listeria phage lmta-94,VHostDB
1486414,68587,listeria phage lmta-57,VHostDB
1486413,68588,listeria phage lmta-148,VHostDB
1486397,68591,listeria phage lmta-34,VHostDB
1458857,72111,listeria phage lp-114,VHostDB
1458856,72112,listeria phage lp-101,VHostDB
1458855,72113,listeria phage lp-083-2,VHostDB
1458854,72114,listeria phage lp-083-1
1458853,72115,listeria phage lp-064,VHostDB
1458852,72116,listeria phage lp-030-3,VHostDB
1225800,96686,listeria phage p70,VHostDB
1173766,102208,listeria phage lp-125,VHostDB
1173765,102209,listeria phage lp-124,VHostDB
1173764,102210,listeria phage lp-048,VHostDB
1173748,102225,listeria phage lp-110,VHostDB
1173747,102226,listeria phage lp-037,VHostDB
1173746,102227,listeria phage lp-032
1173745,102228,listeria phage lp-026,VHostDB
1173744,102229,listeria phage lp-083
1173743,102230,listeria phage lp-030-2,VHostDB
1173742,102231,listeria phage lp-030-1
1168744,102971,listeria phage vb_lmom_ag20,VHostDB
1090864,111038,listeria phage lipz5
1028494,116962,listeria a118-like phage bv-2011
857312,128778,brochothrix phage a9,VHostDB
764562,130264,brochothrix phage bl3,VHostDB
764561,130265,brochothrix phage nf5,VHostDB
560198,151578,listeria phage 805405-1
560197,151579,listeria phage 20422-1
560178,151580,listeria phage p40,VHostDB
394238,171864,listeria phage philm4
330399,177764,listeria phage a006,VHostDB
330398,177765,listeria phage p35,VHostDB
330397,177766,listeria phage b054,VHostDB
330396,177767,listeria phage b025,VHostDB
330395,177768,listeria virus p100,VHostDB
181007,184579,listeria phage 2389,VHostDB
176100,184736,listeria phage u153
171618,184938,listeria phage psa,VHostDB
40523,188978,listeria virus a511,VHostDB
40522,188979,listeria phage a500,VHostDB
40521,188980,listeria phage a118,VHostDB
