2069615,1716,clostridioides phage liba2945
2069614,1717,clostridioides phage liba6276
1971232,15324,clostridioides phage phisemix9p1
1868869,28831,peptoclostridium phage p630p2
1868868,28832,peptoclostridium phage p630p1
1677909,45415,peptoclostridium phage phicdif1296t
1582157,59132,clostridium phage phimmp03,VHostDB
1582156,59133,clostridium phage phimmp01,VHostDB
1582155,59134,clostridium phage phicd506,VHostDB
1582154,59135,clostridium phage phicd505,VHostDB
1582153,59136,clostridium phage phicd481-1,VHostDB
1582152,59137,clostridium phage phicd211,VHostDB
1582151,59138,clostridium phage phicd146,VHostDB
1582150,59139,clostridium phage phicd111,VHostDB
1582149,59140,clostridium phage phicd24-1,VHostDB
1437363,74037,clostridium phage phicdhm13,VHostDB
1411095,76366,clostridium phage cdmh1,VHostDB
1204535,99179,clostridium phage phimmp04,VHostDB
1204534,99180,clostridium phage phimmp02,VHostDB
1032362,116328,clostridium phage phicd38-2,VHostDB
864178,128099,clostridium phage phicd6356,VHostDB
559189,151590,clostridium virus phicd27,VHostDB
320122,178492,clostridium virus phicd119,VHostDB
262071,181364,clostridium virus phic2,VHostDB
