2099651,973,lactobacillus phage p1174
2079434,1197,lactobacillus phage silenus
2079433,1198,lactobacillus phage semele
2079432,1199,lactobacillus phage nyseid
2079431,1200,lactobacillus phage maenad
2079430,1201,lactobacillus phage bassarid
2079429,1202,lactobacillus phage bacchae
2079298,1241,lactobacillus phage pm411
2070201,1570,lactobacillus phage satyr
2053682,3174,lactobacillus phage lenus
2041454,5792,lactobacillus phage lj
2041210,5857,lactobacillus phage lped
2036055,6627,lactobacillus phage t25
1981024,13653,lactobacillus virus ld25a
1981023,13654,lactobacillus virus ld17
1981022,13655,lactobacillus virus ld3
1981020,13656,lactobacillus virus phildb
1932007,19513,lactobacillus phage bh1
1846168,31153,lactobacillus phage p1
1815511,33627,lactobacillus phage ple2,VHostDB
1815510,33628,lactobacillus phage ple3,VHostDB
1755697,39041,lactobacillus phage sa-c12
1739611,39921,lactobacillus phage ilp1308,VHostDB
1739610,39922,lactobacillus phage ilp84,VHostDB
1739609,39923,lactobacillus phage ia2,VHostDB
1739608,39924,lactobacillus phage cl2,VHostDB
1739607,39925,lactobacillus phage cl1,VHostDB
1567484,61417,lactobacillus phage lfeinf,VHostDB
1567453,61434,lactobacillus phage lfesau,VHostDB
1552735,62549,lactobacillus phage ldl1,VHostDB
1500735,67532,lactobacillus phage ld3,VHostDB
1500734,67533,lactobacillus phage ld25a,VHostDB
1500733,67534,lactobacillus phage ld17,VHostDB
1416334,75866,lactobacillus phage phi jlb1,VHostDB
1414736,76230,lactobacillus phage j-1,VHostDB
1399942,77423,lactobacillus phage phildb,VHostDB
1399941,77424,lactobacillus phage phijb,VHostDB
1300324,88106,lactobacillus phage phigb1
1225795,96687,lactobacillus phage atcc 8014-b2,VHostDB
1225794,96688,lactobacillus virus atcc8014,VHostDB
1208667,98167,lactobacillus phage f-aq113
1206110,98345,lactobacillus phage phiaq113,VHostDB
1108070,108838,pediococcus virus cip1,VHostDB
980881,121307,lactobacillus phage ev3
947981,121494,lactobacillus phage sha1,VHostDB
947980,121495,lactobacillus phage lf1,VHostDB
755164,131676,lactobacillus phage lbr48,VHostDB
632112,147221,lactobacillus virus lb338-1,VHostDB
578234,149784,lactobacillus phage lv-1,VHostDB
508419,158429,lactobacillus virus c5,VHostDB
496874,160855,lactobacillus phage lrm1,VHostDB
438780,167239,lactobacillus phage phipyb5,VHostDB
376611,173905,lactobacillus casei phage lca1
364254,174929,lactobacillus phage sal3
364253,174930,lactobacillus phage sal4
364252,174931,lactobacillus phage sal1
364251,174932,lactobacillus phage sal2
363555,174962,lactobacillus phage kc5a,VHostDB
313599,178716,lactobacillus rhamnosus lc-nu-like prophage
298338,179641,lactobacillus virus lp65,VHostDB
297254,179668,lactobacillus virus llku,VHostDB
292511,179804,lactobacillus phage ai15
279281,180619,lactobacillus phage phiat3,VHostDB
272757,180793,lactobacillus phage phigay
235201,182048,lactobacillus virus phijl1,VHostDB
196194,183936,lactobacillus phage f-0303
165428,185249,lactobacillus phage pl-2
146269,186083,lactobacillus phage lc-nu,VHostDB
139872,186230,lactobacillus prophage lj928,VHostDB
139871,186231,lactobacillus prophage lj771,VHostDB
139870,186232,lactobacillus prophage lj965,VHostDB
126649,186719,lactobacillus phage phi-gle
106493,187186,lactobacillus phage ll-k
91019,187554,lactobacillus phage phifsw
52979,188628,lactobacillus phage phig1e,VHostDB
51369,188646,lactobacillus phage a2,VHostDB
39103,189081,lactobacillus phage pl-1,VHostDB
37105,189222,lactobacillus phage jcl1032,VHostDB
33769,189419,lactobacillus phage mv1
29273,189718,lactobacillus phage j1
12417,189875,lactobacillus phage phiadh,VHostDB
12392,189887,lactobacillus phage mv4
12348,189905,lactobacillus phage ll-h,VHostDB
