1970788,15336,weissella phage pwc
1897738,26079,leuconostoc phage cha
1897737,26080,leuconostoc phage chb
1897736,26081,leuconostoc phage ln-7
1897539,26107,leuconostoc phage ldg
1885654,26894,oenococcus phage foe37
1885653,26895,oenococcus phage foe35
1885652,26896,oenococcus phage foe34
1885651,26897,oenococcus phage foe33
1885650,26898,oenococcus phage foe31
1885649,26899,oenococcus phage foe3
1885648,26900,oenococcus phage foe29
1885647,26901,oenococcus phage foe26
1885646,26902,oenococcus phage foe25
1885645,26903,oenococcus phage foe22
1885644,26904,oenococcus phage foe21
1885643,26905,oenococcus phage foe20
1885642,26906,oenococcus phage foe2
1885641,26907,oenococcus phage foe17
1885640,26908,oenococcus phage foe1
1852659,30859,leuconostoc phage 974
1852658,30860,leuconostoc phage 965
1837862,31834,weissella phage wcp30,VHostDB
1536605,63729,leuconostoc phage ln-9,VHostDB
1536604,63730,leuconostoc phage ln-8,VHostDB
1486429,68577,leuconostoc phage llc-1
1435411,74108,oenococcus phage phi9805,VHostDB
1432848,74256,oenococcus phage phis13,VHostDB
1432847,74257,oenococcus phage phis11,VHostDB
1321383,84816,leuconostoc phage 2 hn-2013
1321382,84817,leuconostoc phage 1 hn-2013
1303346,87769,oenococcus phage egm-2013
1262523,92878,leuconostoc phage philntr2,VHostDB
1262522,92879,leuconostoc phage p793,VHostDB
1262521,92880,leuconostoc phage philntr3,VHostDB
1262520,92881,leuconostoc phage philn6b,VHostDB
1262519,92882,leuconostoc phage philn34,VHostDB
1262518,92883,leuconostoc phage philn25,VHostDB
1262517,92884,leuconostoc phage philn12,VHostDB
1262516,92885,leuconostoc phage philn04,VHostDB
1262515,92886,leuconostoc phage philn03,VHostDB
1161930,103533,leuconostoc phage lmd1,VHostDB
1161906,103536,weissella phage phiys61,VHostDB
912321,123164,leuconostoc phage phimh1
745088,134031,leuconostoc phage 1-a4,VHostDB
669062,142247,leuconostoc phage phi 1-a4
440576,166895,leuconostoc phage l5,VHostDB
264987,181150,oenococcus phage fog30
181485,184560,oenococcus phage fog44
54392,188593,leuconostoc phage 10mc
33768,189420,leuconostoc phage l10
12408,189879,leuconostoc phage pzt11-15
12405,189882,leuconostoc phage p54
12404,189883,leuconostoc phage p37
12403,189884,leuconostoc phage p32
