2163987,405,aeromonas phage 14ahydr10pp
2163979,411,aeromonas phage 60ahydr15pp
2163978,412,aeromonas phage 50ahydr13pp
2163976,414,aeromonas phage 25ahydr2pp
2163964,417,aeromonas phage 85ahydr10pp
2163963,418,aeromonas phage 62ahydr11pp
2163962,419,aeromonas phage 13ahydr10pp
2138299,507,aeromonas phage ahszw-1
2138298,508,aeromonas phage ahszq-1
2054046,3147,aeromonas phage vtccbpa5
2053701,3164,aeromonas phage ah1
2026115,7761,aeromonas phage as-yj
2026114,7762,aeromonas phage as-szw
2026113,7763,aeromonas phage as-sw
2026082,7769,aeromonas phage as-gz
2024208,8165,aeromonas phage as-zj
1982371,13397,aeromonas virus pis4a
1978922,14271,aeromonas phage phia8-29
1932907,19300,aeromonas phage sw69-9
1932906,19301,aeromonas phage riv-10
1932905,19302,aeromonas phage l9-6
1932904,19303,aeromonas phage asp37
1932903,19304,aeromonas phage 59.1
1932902,19305,aeromonas phage 56
1932901,19306,aeromonas phage 51
1932900,19307,aeromonas phage 44rr2.8t.2
1932899,19308,aeromonas phage 32
1932898,19309,aeromonas phage 31.2
1932897,19310,aeromonas phage 3
1932896,19311,aeromonas phage 65.2
1921531,22643,aeromonas virus aes508
1921530,22644,aeromonas virus aes12
1921528,22646,aeromonas virus as4
1873997,28572,aeromonas phage ahp2
1754209,39166,aeromonas phage phiarm81mr
1748773,39527,aeromonas phage phiarm81ld
1747286,39601,aeromonas phage ahp1
1636178,49768,aeromonas phage vtccbp2
1505227,67235,aeromonas phage pah6-c,VHostDB
1204516,99193,aeromonas phage cc2,VHostDB
1198024,100461,aeromonas phage aes516
1198023,100462,aeromonas phage aes517
1198022,100463,aeromonas phage aes512
1198021,100464,aeromonas phage aes509
1198020,100465,aeromonas phage aes151
1198019,100466,aeromonas phage aes144
1198018,100467,aeromonas phage aes123
1198017,100468,aeromonas phage aes120
1198016,100469,aeromonas phage aes007
1198015,100470,aeromonas phage aes002
1198014,100471,aeromonas phage aes012,VHostDB
1198013,100472,aeromonas phage aes508,VHostDB
1141132,106028,aeromonas phage phias7,VHostDB
1127514,107512,aeromonas phage vb_asam-56,VHostDB
1074012,112525,aeromonas phage pas-1
926067,123033,aeromonas phage px29,VHostDB
879630,125760,aeromonas phage phias5,VHostDB
879628,125761,aeromonas phage phias4,VHostDB
754050,132017,aeromonas phage pis4-a,VHostDB
526394,155745,aeromonas phage dh1
393598,171917,aeromonas virus phio18p,VHostDB
321023,178449,aeromonas virus 31,VHostDB
260149,181411,aeromonas virus 65,VHostDB
233894,182094,aeromonas virus 25,VHostDB
227470,182411,aeromonas virus aeh1,VHostDB
115987,186931,aeromonas virus 44rr2,VHostDB
