1970795,15333,shewanella phage sppyzu05
1965372,15673,shewanella phage sppyzu01
1881187,28396,shewanella phage 2.096.o._10n.286.48.b5
1881186,28397,shewanella phage 1.083.o._10n.286.52.b9
1881185,28398,shewanella phage 1.081.o._10n.286.52.c2
1881184,28399,shewanella phage 1.076.o._10n.286.51.b7
1881183,28400,shewanella phage 1.050.o._10n.286.48.a6
1881182,28401,shewanella phage 1.049.o._10n.286.54.b5
1852599,30876,shewanella phage sfci1
1458863,72105,shewanella sp. phage 3/49,VHostDB
1458862,72106,shewanella sp. phage 1/44,VHostDB
1458861,72107,shewanella sp. phage 1/41,VHostDB
1458860,72108,shewanella sp. phage 1/40,VHostDB
1458859,72109,shewanella sp. phage 1/4,VHostDB
1445859,73375,shewanella phage spp001,VHostDB
