2029657,7336,bordetella phage vb_bbrm_phb04
1982229,13481,achromobacter virus jwx
1982228,13482,achromobacter virus 83-24
1926943,20417,bordetella virus lk3
1916126,23633,bordetella phage mw2
1916125,23634,bordetella phage fp1
1916124,23635,bordetella phage cn2
1916123,23636,bordetella phage cn1
1903149,25928,bordetella phage vb_bbrs_cn1
1664247,46150,achromobacter phage phiaxp-3,VHostDB
1664246,46151,achromobacter phage phiaxp-2,VHostDB
1610509,52958,achromobacter phage phiaxp-1,VHostDB
1589748,58563,achromobacter phage jwf,VHostDB
1589747,58564,achromobacter phage 83-24,VHostDB
1589746,58565,achromobacter phage jwx,VHostDB
1416009,76182,achromobacter phage jwalpha,VHostDB
1416008,76183,achromobacter phage jwdelta,VHostDB
263375,181238,bordetella phage bip-1,VHostDB
263374,181239,bordetella phage bmp-1,VHostDB
194699,183981,bordetella virus bpp1,VHostDB
