2136799,539,campylobacter phage cp39
2047934,4567,campylobacter phage e6
2047933,4568,campylobacter phage d1
2047932,4569,campylobacter phage d#
2047931,4570,campylobacter phage c9
2047930,4571,campylobacter phage c8
2047929,4572,campylobacter phage c7
2047928,4573,campylobacter phage c5
2047927,4574,campylobacter phage c4
2047926,4575,campylobacter phage c3
2047925,4576,campylobacter phage c2
2047924,4577,campylobacter phage c15
2047923,4578,campylobacter phage c14
2047922,4579,campylobacter phage c13
2047921,4580,campylobacter phage c12
2047920,4581,campylobacter phage c11
2047919,4582,campylobacter phage c10
2047918,4583,campylobacter phage b15
2047917,4584,campylobacter phage b14
2047916,4585,campylobacter phage a18a
2047915,4586,campylobacter phage a16a
2047914,4587,campylobacter phage a15b
2047913,4588,campylobacter phage a15a
2047912,4589,campylobacter phage a150
2047911,4590,campylobacter phage a14b
2047910,4591,campylobacter phage a14a
2047909,4592,campylobacter phage a148
2047908,4593,campylobacter phage a147
2047907,4594,campylobacter phage a145
2047906,4595,campylobacter phage a144
2047905,4596,campylobacter phage a143
2047904,4597,campylobacter phage a142
2047903,4598,campylobacter phage a141
2047902,4599,campylobacter phage a140
2047901,4600,campylobacter phage a13b
2047900,4601,campylobacter phage a13a
2047899,4602,campylobacter phage a139
2047898,4603,campylobacter phage a138
2047897,4604,campylobacter phage a136
2047896,4605,campylobacter phage a135
2047895,4606,campylobacter phage a134
2047894,4607,campylobacter phage a132
2047893,4608,campylobacter phage a131
2047892,4609,campylobacter phage a12a
2047891,4610,campylobacter phage a127
2047890,4611,campylobacter phage a126
2047889,4612,campylobacter phage a123
2047888,4613,campylobacter phage a121
2047887,4614,campylobacter phage a120
2047886,4615,campylobacter phage a11a
2047885,4616,campylobacter phage a119
2047884,4617,campylobacter phage a118
2047883,4618,campylobacter phage a116
2047882,4619,campylobacter phage a115a
2047881,4620,campylobacter phage a113
2047880,4621,campylobacter phage a112b
2047879,4622,campylobacter phage a112a
2047878,4623,campylobacter phage a110b
2047877,4624,campylobacter phage a110a
1987150,12471,helicobacter virus khp40
1987149,12472,helicobacter virus khp30
1987148,12473,helicobacter virus 1961p
1980966,13657,campylobacter virus cp30a
1904491,25847,campylobacter phage vb_cjem_los1
1852688,30831,helicobacter phage uken32u
1852687,30832,helicobacter phage uken31u
1852686,30833,helicobacter phage swc520g
1852685,30834,helicobacter phage swc388g
1852684,30835,helicobacter phage swa626g
1852683,30836,helicobacter phage sw577g
1852682,30837,helicobacter phage ptb92g
1852681,30838,helicobacter phage ptb89g
1852680,30839,helicobacter phage pt5771g
1852679,30840,helicobacter phage pt5322g
1852678,30841,helicobacter phage pt5303g
1852677,30842,helicobacter phage pt4497u
1852676,30843,helicobacter phage pt4481g
1852675,30844,helicobacter phage pt4472g
1852674,30845,helicobacter phage pt259g
1852673,30846,helicobacter phage pt22899g
1852672,30847,helicobacter phage pt21299ru
1852671,30848,helicobacter phage pt1918u
1852670,30849,helicobacter phage pt1846u
1852669,30850,helicobacter phage pt1293u
1852668,30851,helicobacter phage is3180g
1852667,30852,helicobacter phage frmeg235u
1852666,30853,helicobacter phage frgc43a
1852665,30854,helicobacter phage frg12g
1852664,30855,helicobacter phage frb58m
1852663,30856,helicobacter phage frb41m
1852662,30857,helicobacter phage frant170u
1852661,30858,helicobacter phage dem53m
1541694,63083,campylobacter phage pm5
1541693,63084,campylobacter phage pm1
1541692,63085,campylobacter phage pk83
1541691,63086,campylobacter phage pk80
1541690,63087,campylobacter phage pc5
1541689,63088,campylobacter phage pc48
1541688,63089,campylobacter phage pc35
1541687,63090,campylobacter phage pc17
1541686,63091,campylobacter phage pc14,VHostDB
1470462,70144,campylobacter phage cjie4-5,VHostDB
1470461,70145,campylobacter phage cjie4-4,VHostDB
1470460,70146,campylobacter phage cjie4-3,VHostDB
1470459,70147,campylobacter phage cjie4-2,VHostDB
1470458,70148,campylobacter phage cjie4-1,VHostDB
1340809,81580,campylobacter phage cp8,VHostDB
1229752,95617,campylobacter phage cp30a,VHostDB
1208236,98183,helicobacter phage khp30,VHostDB
1204178,99248,helicobacter phage khp40,VHostDB
1190451,101326,campylobacter virus cp21,VHostDB
1154995,104221,helicobacter phage 1961p,VHostDB
1110702,108751,campylobacter virus cpx,VHostDB
1069378,113130,helicobacter phage phihp33,VHostDB
1006972,117234,campylobacter virus ibb35,VHostDB
990550,119461,campylobacter virus cp81,VHostDB
934027,122336,campylobacter virus nctc12673,VHostDB
722418,135100,campylobacter virus cpt10,VHostDB
722417,135101,campylobacter virus cp220,VHostDB
464033,164116,campylobacter phage cgc-2007
