2065203,2256,proteus phage phip4-3
2048008,4545,proteus phage pm135
2048007,4546,proteus phage pm87
2025809,7874,proteus phage pm2
1969841,15445,proteus phage vb_pmis-isfahan
1965534,15616,morganella phage ime1369_03
1965532,15618,morganella phage ime1369_01
1965488,15625,morganella phage ime1369_02
1963267,15972,proteus virus sexta
1933093,19286,proteus phage vb_pvus_pm34
1931407,19681,providencia phage vb_pres_pr1
1852628,30871,morganella phage vb_mmom_mp1,VHostDB
1852627,30872,morganella phage vb_mmop_mp2,VHostDB
1837877,31830,proteus phage pm 116
1643328,48766,proteus phage colprot222
1636250,49754,proteus phage vb_pmim_pm5461,VHostDB
1636249,49755,proteus phage vb_pmip_pm5460,VHostDB
1567485,61416,proteus phage ppm_01,VHostDB
1565372,61705,proteus phage colprot1
1560284,62346,proteus phage pm 93,VHostDB
1560283,62347,proteus phage pm 85,VHostDB
1560282,62348,proteus phage pm 75,VHostDB
1357704,79530,proteus phage pm16,VHostDB
1235559,95214,providencia phage redjac,VHostDB
526118,155753,morganella phage mmp1,VHostDB
