2065204,2255,plesiomonas phage phip4-7
1914209,23856,escherichia virus rb14,VHostDB
1879035,28494,plesiomonas phage p4-7
384643,172787,enterobacteria phage wa13,VHostDB
384642,172788,enterobacteria phage id18,VHostDB
338140,177089,enterobacteria phage wa14,VHostDB
338138,177090,enterobacteria phage nc6,VHostDB
338137,177091,enterobacteria phage nc10,VHostDB
338136,177092,enterobacteria phage id12,VHostDB
338135,177093,enterobacteria phage wa6,VHostDB
338134,177094,enterobacteria phage id41,VHostDB
338133,177095,enterobacteria phage nc19,VHostDB
338132,177096,enterobacteria phage nc13,VHostDB
338131,177097,enterobacteria phage nc2,VHostDB
338130,177098,enterobacteria phage wa5,VHostDB
338129,177099,enterobacteria phage id8,VHostDB
338128,177100,enterobacteria phage wa3,VHostDB
338127,177101,enterobacteria phage wa2,VHostDB
338126,177102,enterobacteria phage wa11,VHostDB
338125,177103,enterobacteria phage wa10,VHostDB
338124,177104,enterobacteria phage wa4,VHostDB
338123,177105,enterobacteria phage nc56,VHostDB
338122,177106,enterobacteria phage nc51,VHostDB
338121,177107,enterobacteria phage nc41,VHostDB
338120,177108,enterobacteria phage nc37,VHostDB
338119,177109,enterobacteria phage nc16,VHostDB
338118,177110,enterobacteria phage nc11,VHostDB
338117,177111,enterobacteria phage nc7,VHostDB
338116,177112,enterobacteria phage nc5,VHostDB
338115,177113,enterobacteria phage nc1,VHostDB
338114,177114,enterobacteria phage id45,VHostDB
338113,177115,enterobacteria phage id34,VHostDB
338112,177116,enterobacteria phage id22,VHostDB
338111,177117,enterobacteria phage id1,VHostDB
338109,177119,enterobacteria phage nc3,VHostDB
318596,178636,enterobacteria phage pr5,VHostDB
318595,178637,enterobacteria phage pr4,VHostDB
318594,178638,enterobacteria phage pr3,VHostDB
318593,178639,enterobacteria phage l17,VHostDB
310953,178970,enterobacteria phage id11,VHostDB
261665,181374,enterobacteria phage pr772,VHostDB
75725,187843,enterobacteria phage nl95,VHostDB
