2163635,435,pectobacterium phage nepra
2163634,436,pectobacterium phage jarilo
2163632,438,dickeya phage sucellus
2163631,439,dickeya phage ninurta
2163630,440,dickeya phage dagda
2163629,441,dickeya phage amaethon
2053675,3175,dickeya phage pp35
2053078,3233,pectobacterium phage peat2
2041492,5785,pectobacterium phage du_pp_v
2041491,5786,pectobacterium phage du_pp_iv
2041490,5787,pectobacterium phage du_pp_iii
2041489,5788,pectobacterium phage du_pp_ii
2041488,5789,pectobacterium phage du_pp_i
1983656,13120,dickeya phage xf4
1983655,13121,dickeya phage ja15
1983582,13152,pectobacterium phage vb_patp_cb5
1980961,13660,pectobacterium virus phite
1965354,15684,pectobacterium phage phia41
1965269,15697,pectobacterium phage pop72
1961914,16266,pectobacterium phage ppws4
1958919,17085,pectobacterium phage vb_patp_cb4
1958918,17086,pectobacterium phage vb_patp_cb3
1958917,17087,pectobacterium phage vb_patp_cb1
1958916,17088,pectobacterium phage vb_patm_cb7
1954380,17448,sodalis virus so1
1932883,19321,pectobacterium phage pp99
1932882,19322,pectobacterium phage pp47
1927014,20409,pectobacterium phage pp81
1916414,23566,pectobacterium phage pp101
1916101,23649,pectobacterium phage pp74
1907173,25675,pectobacterium phage a38
1897743,26078,pectobacterium phage pp2
1873959,28580,pectobacterium phage pp90,VHostDB
1873958,28581,pectobacterium phage pp16,VHostDB
1792242,34998,pectobacterium phage cbb
1698708,44199,dickeya phage bf25/12
1685500,44848,pectobacterium phage ppws1
1654601,47359,pectobacterium phage peat1,VHostDB
1542133,63018,dickeya phage phidp23.1
1542132,63019,dickeya phage phidp10.3
1542131,63020,dickeya phage phid3
1477406,69349,dickeya phage rc-2014,VHostDB
1429794,74630,pectobacterium bacteriophage pm2,VHostDB
1399915,77425,pectobacterium phage pm1,VHostDB
1217810,97185,pectobacterium phage pp1,VHostDB
1211386,97857,pectobacterium phage phim1
1204539,99175,pectobacterium phage my1,VHostDB
1127516,107510,pectobacterium phage zf40,VHostDB
1116482,108053,pectobacterium phage phite,VHostDB
1091052,111026,dickeya virus limestone,VHostDB
673375,141824,sodalis phage so1,VHostDB
373126,174153,sodalis phage phisg1,VHostDB
