1912593,24136,proteobacteria phage mwh-nonnen-w8red 1
1912592,24137,proteobacteria phage mwh-nonnen-w8red 2
1874686,28500,proteobacteria phage p14
1860151,30410,alphaproteobacteria phage medpe-swcel-c56
1510626,66591,alkalimonas phage phimom3.3-mod2
1510625,66592,alkalimonas phage phimom3.2-om
1510624,66593,alkalimonas phage phimol1.4-st
1510623,66594,alkalimonas phage phimol1.4-nb
1510622,66595,alkalimonas phage phimod3.20-om
1510621,66596,alkalimonas phage phimod2.32-om
1230469,95490,nitratiruptor phage nrs-1,VHostDB
948071,121493,puniceispirillum phage hmo-2011,VHostDB
279383,180602,alphaproteobacteria virus phijl001,VHostDB
