2202135,57,acinetobacter phage sh-ab 15599
2163899,423,acinetobacter phage vb_abam_b9
2126803,605,acinetobacter phage vb_abap_d2
2060946,2373,acinetobacter phage sh-ab 15497
2059857,2482,acinetobacter phage swh-ab-3
2053692,3169,acinetobacter phage pbab25
2053691,3170,acinetobacter phage pbab08
2053604,3180,acinetobacter phage swh-ab-1
2016053,9416,acinetobacter phage vb_apip_p2
2016052,9417,acinetobacter phage vb_apip_p1
2016051,9418,acinetobacter phage vb_abap_b5
2016050,9419,acinetobacter phage vb_abap_b3
2016049,9420,acinetobacter phage vb_abap_b1
2015804,9518,acinetobacter phage abp2
1985718,12689,acinetobacter virus ab3
1985717,12690,acinetobacter virus pdab9
1985716,12691,acinetobacter virus pd6a3
1985715,12692,acinetobacter virus phiab1
1985714,12693,acinetobacter virus abp1
1985713,12694,acinetobacter virus ime200
1985712,12695,acinetobacter virus fri1
1983525,13192,acinetobacter phage wchabp5
1983409,13199,acinetobacter phage wchabp1
1970374,15343,acinetobacter phage vb_abas_loki
1965454,15658,acinetobacter phage wchabp12
1962723,16002,acinetobacter phage zzon-2017a
1932886,19319,acinetobacter phage vb_abap_as11
1932885,19320,acinetobacter phage vb_abap_as12
1917452,23263,acinetobacter phage ajo1
1916127,23632,acinetobacter phage sh-ab 15519
1915209,23713,acinetobacter virus ap22
1915208,23714,acinetobacter virus ab1
1915207,23715,acinetobacter virus ab2
1915206,23716,acinetobacter virus abc62
1913571,23909,acinetobacter phage am24
1852629,30870,acinetobacter phage vb_abas_trs1,VHostDB
1837876,31831,acinetobacter phage vb_abam_me3
1792222,35000,acinetobacter phage lz35,VHostDB
1758118,38109,acinetobacter phage vb_abap_ceb2
1735582,40193,acinetobacter phage ime200,VHostDB
1718842,42269,acinetobacter phage ab105-3phi
1718841,42270,acinetobacter phage ab105-2phi
1718840,42271,acinetobacter phage ab105-1phi
1708400,43164,acinetobacter phage vb_abap_ceb1
1701808,43865,acinetobacter phage vb_abap_pd-ab9,VHostDB
1701807,43866,acinetobacter phage vb_abap_pd-6a3,VHostDB
1698439,44207,acinetobacter phage phiab6,VHostDB
1647555,48227,moraxella phage mcat9
1647554,48228,moraxella phage mcat8
1647553,48229,moraxella phage mcat7
1647552,48230,moraxella phage mcat6
1647551,48231,moraxella phage mcat5
1647550,48232,moraxella phage mcat4
1647549,48233,moraxella phage mcat32
1647548,48234,moraxella phage mcat31
1647547,48235,moraxella phage mcat30
1647546,48236,moraxella phage mcat3
1647545,48237,moraxella phage mcat29
1647544,48238,moraxella phage mcat28
1647543,48239,moraxella phage mcat27
1647542,48240,moraxella phage mcat26
1647541,48241,moraxella phage mcat25
1647540,48242,moraxella phage mcat24
1647539,48243,moraxella phage mcat23
1647538,48244,moraxella phage mcat22
1647537,48245,moraxella phage mcat21
1647536,48246,moraxella phage mcat20
1647535,48247,moraxella phage mcat2
1647534,48248,moraxella phage mcat19
1647533,48249,moraxella phage mcat18
1647532,48250,moraxella phage mcat17
1647531,48251,moraxella phage mcat16
1647530,48252,moraxella phage mcat15
1647529,48253,moraxella phage mcat14
1647528,48254,moraxella phage mcat13
1647527,48255,moraxella phage mcat12
1647526,48256,moraxella phage mcat11
1647525,48257,moraxella phage mcat10
1647524,48258,moraxella phage mcat1
1647373,48351,acinetobacter phage fri1,VHostDB
1628722,50087,acinetobacter phage ymc11/12/r1215
1628721,50088,acinetobacter phage ymc11/11/r3177
1628720,50089,acinetobacter phage ymc11/12/r2315,VHostDB
1605379,53387,acinetobacter phage vb_abam_phiabaa1,VHostDB
1604868,53629,acinetobacter phage rl-2015
1560342,62314,acinetobacter phage ymc13/03/r2096,VHostDB
1505225,67237,acinetobacter phage ymc-13-01-c62,VHostDB
1481187,69157,acinetobacter phage vb_abap_acibel007,VHostDB
1481186,69158,acinetobacter phage vb_abam_acibel004,VHostDB
1458669,72145,acinetobacter phage ime_ab3,VHostDB
1444759,73677,acinetobacter phage abp-04
1444758,73678,acinetobacter phage abp-01
1406780,76653,acinetobacter phage presley,VHostDB
1406779,76654,acinetobacter phage petty,VHostDB
1273713,92128,acinetobacter phage ab3,VHostDB
1243183,94590,acinetobacter phage ime-ab2,VHostDB
1235824,95187,acinetobacter phage abp1,VHostDB
1229760,95612,acinetobacter phage phiac-1,VHostDB
1221835,96979,acinetobacter phage bphi-b1251,VHostDB
1187128,101475,acinetobacter phage ap22,VHostDB
1161145,103878,acinetobacter phage phiab11
1092848,110242,acinetobacter phage abp53
1071177,112860,psychrobacter phage psymv2,VHostDB
1049283,114437,acinetobacter phage zz1,VHostDB
889876,124409,acinetobacter phage ab1,VHostDB
762660,130519,acinetobacter phage ac42,VHostDB
760939,130870,acinetobacter phage acj9,VHostDB
760732,130915,acinetobacter phage acj61,VHostDB
754048,132019,psychrobacter phage pow20-a,VHostDB
691319,138628,acinetobacter phage phiab2
691318,138629,acinetobacter phage phiab1,VHostDB
279006,180637,acinetobacter virus 133,VHostDB
154784,185807,acinetobacter phage ap205,VHostDB
