2011074,9997,spiroplasma virus svts2
1977410,14683,spiroplasma virus r8a2b
1977408,14684,spiroplasma virus c74
1977403,14685,acholeplasma virus mv-l51
745349,133997,spiroplasma phage svgii3,VHostDB
455649,165672,spiroplasma virus skv1cr23x,VHostDB
280702,180556,mycoplasma phage phimfv1,VHostDB
185959,184364,spiroplasma phage 1-c74,VHostDB
93224,187532,spiroplasma phage svts2,VHostDB
75590,187845,mycoplasma phage mav1,VHostDB
46014,188797,acholeplasma virus l2,VHostDB
35238,189414,mycoplasma virus p1,VHostDB
10876,190929,acholeplasma phage mv-l1,VHostDB
10855,190943,spiroplasma virus spv4,VHostDB
10854,190944,spiroplasma phage 1-r8a2b,VHostDB
