2057187,2820,drosophila innubila nudivirus
1802951,34640,drosophila unispina virus 1
1802948,34642,drosophila algonquin sigmavirus
1802947,34643,scaptodrosophila deflexa sigmavirus
1802946,34644,drosophila sturtevanti sigmavirus
1802937,34648,drosophila sturtevanti rhabdovirus 1
1802936,34649,drosophila subobscura rhabdovirus
1802935,34650,drosophila busckii rhabdovirus
1654582,47360,kallithea virus,VHostDB
1500866,67493,drosophila immigrans nora virus,VHostDB
1500865,67494,drosophila subobscura nora virus,VHostDB
1308859,86841,drosophila affinis sigmavirus
1094373,109591,drosophila melanogaster sigmavirus
1002361,117763,drosophila tristis sigmavirus
1002360,117764,drosophila immigrans sigmavirus
1002359,117765,drosophila ananassae sigmavirus
948741,121481,drosophila obscura sigmavirus
673459,141770,drosophila obscura sigmavirus bbl-2009a
671498,142021,drosophila melanogaster sigmavirus u125
671497,142022,drosophila melanogaster sigmavirus dm113
671496,142023,drosophila melanogaster sigmavirus derby
666963,142398,drosophila affinis sigmavirus 10
666962,142399,drosophila obscura sigmavirus 10a,VHostDB
666961,142400,drosophila melanogaster sigmavirus hap23,VHostDB
666363,142459,drosophila melanogaster sigmavirus ap30,VHostDB
663282,143004,drosophila melanogaster totivirus sw-2009a,VHostDB
663281,143005,drosophila melanogaster birnavirus sw-2009a
663280,143006,drosophila melanogaster tetravirus sw-2009a
663279,143007,drosophila melanogaster american nodavirus (anv) sw-2009a
595895,148364,drosophila a virus,VHostDB
363716,174960,nora virus,VHostDB
348585,176377,drosophila melanogaster idefix virus
348584,176378,drosophila melanogaster zam virus
64279,188223,drosophila c virus,VHostDB
48981,188673,drosophila x virus,VHostDB
