2065215,2252,diadromus pulchellus toursvirus
1623311,50192,hyposoter ichnovirus egc-2015
1428464,74872,diadegma fenestrale ichnovirus
1329648,82741,apophua simplicipes ichnovirus
993492,118743,diadegma semiclausum ichnovirus
654920,144845,campoletis sonorensis ichnovirus (strain texas a&m)
263950,181222,venturia canescens picorna-like virus
219164,182974,campoletis chlorideae ichnovirus
160841,185425,campoletis sp. ichnovirus
158683,185538,diadromus pulchellus ascovirus 4a,VHostDB
96779,187480,hyposoter didymator ichnovirus
74492,187865,tranosema rostrale ichnovirus
37368,189180,diadromus pulchellus idnoreovirus 1
