1985710,12697,pteromalus puparum peropuvirus
1926633,20419,pteromalus puparum negative-strand rna virus 1
1163668,103378,ocozocoautla de espinosa virus
986167,119671,spalangia cameroni secondary endosymbiont phage
986166,119672,nasonia vitripennis secondary endosymbiont phage
949127,121472,wolbachia endosymbiont wvitb of nasonia vitripennis phage wovitb
949126,121473,wolbachia endosymbiont wvita of nasonia vitripennis phage wovita4
949125,121474,wolbachia endosymbiont wvita of nasonia vitripennis phage wovita2
949124,121475,wolbachia endosymbiont wvita of nasonia vitripennis phage wovita1
626355,147712,nasonia vitripennis virus
552512,152271,pteromalus puparum small rna-containing virus
