2079613,1148,ixodes scapularis associated virus-6
2079612,1149,ixodes scapularis associated virus-5
2079607,1154,ixodes scapularis associated virus-4
1980520,13817,dera ghazi khan orthonairovirus,VHostDB
1969401,15459,ixodes holocyclus iflavirus
1922762,21907,bole hyalomma asiaticum virus 1
1844928,31167,avian-like circovirus,VHostDB
1844927,31168,lonestar tick chuvirus 1,VHostDB
1810952,33757,clo mor virus,VHostDB
1752930,39172,ixodes scapularis iflavirus
1752929,39173,ixodes scapularis bunyavirus
1752928,39174,ixodes scapularis associated virus 3
1746065,39631,tacheng tick virus 8,VHostDB
1746058,39638,bole tick virus 4,VHostDB
1608146,53149,yongjia tick virus 2,VHostDB
1608138,53156,wuhan tick virus 2,VHostDB
1608137,53157,wuhan tick virus 1,VHostDB
1608094,53200,wenzhou tick virus,VHostDB
1608090,53204,taishun tick virus,VHostDB
1608087,53207,tacheng tick virus 5,VHostDB
1608085,53209,tacheng tick virus 3,VHostDB
1608083,53211,tacheng tick virus 1,VHostDB
1608049,53245,huangpi tick virus 3,VHostDB
1608048,53246,huangpi tick virus 2,VHostDB
1608047,53247,huangpi tick virus 1,VHostDB
1608045,53249,changping tick virus 3,VHostDB
1608044,53250,changping tick virus 2,VHostDB
1608042,53252,bole tick virus 3,VHostDB
1608041,53253,bole tick virus 2,VHostDB
1577137,59419,suffolk virus,VHostDB
1526526,64300,ixodes scapularis associated virus 2
1526525,64301,ixodes scapularis associated virus 1
1491393,68387,jingmen tick virus,VHostDB
1459044,72092,long island tick rhabdovirus,VHostDB
1457386,72338,hunter island virus,VHostDB
1456752,72395,kama virus,VHostDB
1428456,74877,kolente virus,VHostDB
1405807,76966,razdan virus,VHostDB
1219465,97056,lone star virus,VHostDB
1213620,97755,bhanja virus,VHostDB
1172985,102300,mogiana tick virus,VHostDB
201466,183676,human enterovirus sp. ex amblyomma americanum
104581,187219,st croix river virus,VHostDB
58535,188531,deer tick virus,VHostDB
40067,189002,wad medani virus,VHostDB
40004,189020,tyuleniy virus,VHostDB
12542,189827,omsk hemorrhagic fever virus,VHostDB
11569,190510,thogoto thogotovirus,VHostDB
11083,190771,powassan virus,VHostDB
