1985696,12707,sena madureira sripuvirus
1906244,25772,cyclophragma undans nucleopolyhedrovirus
1881632,28123,malacosoma sp. alphabaculovirus
1346824,80689,malacosoma alphabaculovirus
1219875,97015,dendrolimus kikuchii nucleopolyhedrovirus
1158193,104003,sena maduriera virus
701071,137488,dendrolimus cypovirus xy-2009a
292208,179820,dendrolimus punctatus densovirus,VHostDB
289183,180015,malacosoma americanum nucleopolyhedrovirus
272751,180796,dendrolimus punctatus virus,VHostDB
271114,180869,malacosoma sp. nucleopolyhedrovirus
271113,180870,malacosoma californicum nucleopolyhedrovirus
265522,181134,hyposoter fugitivus ichnovirus,VHostDB
212102,183253,malacosoma californicum pluviale nucleopolyhedrovirus
208509,183354,dendrolimus punctatus cypovirus 1
49081,188671,malacosoma disstria nucleopolyhedrovirus
38012,189152,malacosoma neustria nucleopolyhedrovirus
