2126611,621,antheraea proylei nucleopolyhedrovirus
1920700,22776,samia ricini nucleopolyhedrovirus
1920699,22777,antheraea yamamai nucleopolyhedrovirus
1783547,35941,antheraea mylitta iflavirus
1460071,71949,antheraea pernyi iflavirus,VHostDB
1367203,79457,hemileuca sp. nucleopolyhedrovirus,VHostDB
1347910,80338,hemileuca alphabaculovirus
1347909,80339,coloradia pandora alphabaculovirus
1234615,95260,philosamia cynthia ricini nucleopolyhedrovirus virus,VHostDB
307471,179072,samia cynthia nucleopolyhedrovirus
307464,179079,dirphia peruvianus nucleopolyhedrovirus
271111,180872,coloradia pandora nucleopolyhedrovirus
262171,181359,actias selene nucleopolyhedrovirus
262169,181361,antheraea polyphemus nucleopolyhedrovirus
205911,183487,antheraea cypovirus
180168,184599,antheraea proylei cypovirus 4
180167,184600,antheraea mylitta cypovirus 4
180166,184601,antheraea assamensis cypovirus 4
161494,185415,antheraea pernyi nucleopolyhedrovirus,VHostDB
134394,186382,lonomia obliqua multiple nucleopolyhedrovirus
36357,189294,attacus ricini nuclear polyhedrosis virus
12541,189828,nudaurelia capensis omega virus
