2164101,401,penicillium digitatum polymycoviruses 1
2164100,402,penicillium digitatum narna-like virus 1
2030912,7186,penicillium aurantiogriseum partiti-like virus 1
1833938,32234,penicillium digitatum virus 1,VHostDB
1768065,37383,penicillium digitatum virus 1 yzn-2015
1756157,38927,penicillium aurantiogriseum partitivirus 1,VHostDB
1755796,39027,penicillium waksmanii metavirus 1
1755795,39028,penicillium spinulosum metavirus 1
1755793,39030,penicillium janczewskii chrysovirus 2
1755792,39031,penicillium janczewskii chrysovirus 1,VHostDB
1755791,39032,penicillium waksmanii bipartite virus rna2
1755781,39036,penicillium aurantiogriseum partiti-like virus,VHostDB
1755754,39037,penicillium aurantiogriseum bipartite virus 1,VHostDB
1755753,39038,penicillium aurantiogriseum foetidus-like virus,VHostDB
1755752,39039,penicillium aurantiogriseum fusarivirus 1,VHostDB
1755467,39058,penicillium aurantiogriseum totivirus 1,VHostDB
1736705,40181,aspergillus foetidus virus satellite rna
1561079,62249,aspergillus foetidus slow virus 3
1532180,63893,penicillium roqueforti ssrna mycovirus 1,VHostDB
1478136,69222,aspergillus fumigatus tetramycovirus-1
1087071,111478,aspergillus foetidus slow virus 2
1087070,111479,aspergillus foetidus slow virus 1
1087068,111480,aspergillus foetidus dsrna mycovirus,VHostDB
1027415,116994,aspergillus fumigatus partitivirus 1
654932,144836,penicillium chrysogenum virus (isolate caston)
641014,146758,aspergillus fumigatus partitivirus
607716,148275,aspergillus fumigatus chrysovirus
487212,161584,aspergillus mycovirus 341
487211,161585,aspergillus mycovirus 1816
487210,161586,aspergillus mycovirus 178
358008,175272,aspergillus ochraceous virus
296210,179678,penicillium stoloniferum virus f,VHostDB
216371,183088,penicillium stoloniferum virus s,VHostDB
158372,185562,penicillium chrysogenum virus,VHostDB
