2050969,4004,sodiomyces alkalinus partitivirus 2
2045045,4780,sodiomyces alkalinus partitivirus 1
2029458,7395,colletotrichum camelliae filamentous virus 1
1945524,18047,verticillium dahliae rna virus
1917080,23311,sodiomyces alkalinus fusarivirus 1
1766766,37432,colletotrichum gloeosporioides chrysovirus 1
1718592,42279,colletotrichum truncatum partitivirus 1
1708484,43160,colletotrichum partitivirus 1
1565088,61706,colletotrichum higginsianum non-segmented dsrna virus 1,VHostDB
1518697,65122,verticillium albo-atrum partitivirus-1
1332073,82366,colletotrichum acutatum rna virus 1
759389,131338,verticillium dahliae chrysovirus 1,VHostDB
