2060778,2375,fusarium graminearum alternavirus 1
2049485,4471,fusarium graminearum negative-stranded rna virus 1
1929313,19977,fusarium graminearum dsrna mycovirus 5
1926644,20418,fusarium langsethiae hypovirus 1,VHostDB
1872710,28664,fusarium graminearum deltaflexivirus 1,VHostDB
1849545,31056,fusarium poae negative-stranded virus 2,VHostDB
1849544,31057,fusarium poae negative-stranded virus 1,VHostDB
1849543,31058,fusarium poae mycovirus 2,VHostDB
1849542,31059,fusarium poae mycovirus 1,VHostDB
1849539,31060,fusarium poae alternavirus 1,VHostDB
1849538,31061,fusarium poae hypovirus 1
1849537,31062,fusarium poae fusarivirus 1,VHostDB
1849535,31063,fusarium poae victorivirus 1,VHostDB
1849534,31064,fusarium poae virus 1-240374,VHostDB
1849533,31065,fusarium poae partitivirus 2,VHostDB
1849532,31066,fusarium poae narnavirus 2,VHostDB
1849531,31067,fusarium poae narnavirus 1,VHostDB
1848169,31104,fusarium poae dsrna virus 3,VHostDB
1848153,31107,fusarium poae mitovirus 4,VHostDB
1848152,31108,fusarium poae mitovirus 3,VHostDB
1848151,31109,fusarium poae mitovirus 2,VHostDB
1848150,31110,fusarium poae mitovirus 1,VHostDB
1848042,31122,fusarium poae dsrna virus 2,VHostDB
1809243,33808,fusarium graminearum mycotymovirus 1
1679238,45309,fusarium oxysporum f. sp. dianthi mycovirus 1,VHostDB
1640379,49205,fusarium graminearum hypovirus 2,VHostDB
1562381,61962,fusarium solani partitivirus 2
1562380,61963,fusarium coeruleum mitovirus 1,VHostDB
1562379,61964,fusarium globosum mitovirus 1,VHostDB
1511847,66525,fusarium solani virus 1,VHostDB
1459668,72084,fusarium circinatum mitovirus 2-2
1459667,72085,fusarium circinatum mitovirus 2-1
1452531,72982,fusarium circinatum mitovirus 2
1452530,72983,fusarium circinatum mitovirus 1
1284208,89986,fusarium graminearum hypovirus 1,VHostDB
1141583,105870,fusarium virguliforme dsrna mycovirus 1
1141582,105871,fusarium virguliforme dsrna mycovirus 2
941336,121955,fusarium graminearum mycovirus-china 9
687918,138964,fusarium graminearum dsrna mycovirus-4,VHostDB
687917,138965,fusarium graminearum dsrna mycovirus-3,VHostDB
444033,166583,tt virus sle2065,VHostDB
444032,166584,tt virus sle2061,VHostDB
444031,166585,tt virus sle2072,VHostDB
444030,166586,tt virus sle2058,VHostDB
444029,166587,tt virus sle2057,VHostDB
444003,166613,tt virus sle1932,VHostDB
444002,166614,tt virus sle1931,VHostDB
443975,166641,tt virus sle1957,VHostDB
434898,167874,fusarium oxysporum chrysovirus 1
254946,181601,fusarium graminearum dsrna mycovirus-2
194397,184044,fusarium graminearum dsrna mycovirus-1,VHostDB
152334,185859,nectria radicicola virus l1
75747,187841,fusarium poae virus 1,VHostDB
