674982,141615,ceratocystis resinifera virus 1,VHostDB
274584,180677,thielaviopsis basicola mitovirus,VHostDB
271076,180882,thielaviopsis basicola dsrna virus nc1-1
271074,180883,thielaviopsis basicola dsrna virus nc1527a1
271073,180884,thielaviopsis basicola dsrna virus or1(11c1)
271072,180885,thielaviopsis basicola dsrna virus c1c
271071,180886,thielaviopsis basicola dsrna virus ak89-2c1
271070,180887,thielaviopsis basicola dsrna virus wash-3
271069,180888,thielaviopsis basicola dsrna virus bk18c3
269725,180974,thielaviopsis basicola dsrna virus 2
267285,181117,chalara elegans rna virus 1,VHostDB
235434,182038,ceratocystis polonica partitivirus,VHostDB
