2162642,469,rhizoctonia solani endornavirus 1
2126437,623,rhizoctonia solani dsrna virus 5
2045504,4666,rhizoctonia solani dsrna virus 4
2034994,6739,rhizoctonia solani partitivirus virus 4
2034993,6740,rhizoctonia solani partitivirus virus 3
1970223,15344,ceratobasidium partitivirus cp-a2
1970110,15371,ceratobasidium partitivirus cp-g1
1970109,15372,ceratobasidium partitivirus cp-c2
1970108,15373,ceratobasidium partitivirus cp-i
1970107,15374,ceratobasidium partitivirus cp-h
1970091,15375,ceratobasidium partitivirus cp-f
1970090,15376,ceratobasidium partitivirus cp-e
1970089,15377,ceratobasidium partitivirus cp-d
1970088,15378,ceratobasidium partitivirus cp-c1
1970087,15379,ceratobasidium partitivirus cp-b1
1970086,15380,ceratobasidium partitivirus cp-a1
1964428,15921,ceratobasidium mitovirus a
1964427,15922,ceratobasidium hypovirus a
1964426,15923,ceratobasidium virus b
1964425,15924,ceratobasidium virus a
1964422,15925,ceratobasidium partitivirus cp-g
1964421,15926,ceratobasidium partitivirus cp-c
1964420,15927,ceratobasidium partitivirus cp-b
1964419,15928,ceratobasidium partitivirus cp-a
1908813,25282,ceratobasidium endornavirus c,VHostDB
1908812,25283,ceratobasidium endornavirus h
1908811,25284,ceratobasidium endornavirus g,VHostDB
1908810,25285,ceratobasidium endornavirus f
1908809,25286,ceratobasidium endornavirus e
1908808,25287,ceratobasidium endornavirus d,VHostDB
1908807,25288,ceratobasidium endornavirus b,VHostDB
1908806,25289,ceratobasidium endornavirus a,VHostDB
1906953,25689,ceratobasidium endornavirus
1905687,25814,ceratobasidium partitivirus-like
1905686,25815,ceratobasidium mycovirus-like
1905685,25816,ceratobasidium megabirnavirus-like
1905684,25817,ceratobasidium hypovirus-like
1905683,25818,ceratobasidium endornavirus-like
1905681,25819,ceratobasidium partitivirus
1871644,28695,rhizoctonia solani mycovirus 3
1871643,28696,rhizoctonia solani mycovirus 2
1871642,28697,rhizoctonia solani mycovirus 1
1871641,28698,rhizoctonia solani megabirnavirus 1
1871640,28699,rhizoctonia solani endornavirus 3
1871639,28700,rhizoctonia solani rna virus 3
1871638,28701,rhizoctonia solani rna virus 2
1871637,28702,rhizoctonia solani rna virus 1
1871636,28703,rhizoctonia solani flexivirus 2
1871635,28704,rhizoctonia solani mitovirus 19
1871634,28705,rhizoctonia solani mitovirus 18
1871633,28706,rhizoctonia solani mitovirus 17
1871632,28707,rhizoctonia solani mitovirus 16
1871631,28708,rhizoctonia solani flexivirus 1,VHostDB
1871112,28783,rhizoctonia solani mitovirus 20
1848504,31095,rhizoctonia solani partitivirus 1
1837089,31879,rhizoctonia oryzae-sativae mitovirus 1,VHostDB
1825688,32390,rhizoctonia solani dsrna virus 3,VHostDB
1807789,33889,rhizoctonia solani positive-strand rna virus 1
1807787,33891,rhizoctonia solani endornavirus 2
1712387,43097,binucleate rhizoctonia mitovirus k1,VHostDB
1708395,43165,rhizoctonia solani negative-stranded virus 3
1708394,43166,rhizoctonia solani negative-stranded virus 2
1708393,43167,rhizoctonia solani negative-stranded virus 1
1708387,43172,rhizoctonia solani ourmia-like virus 1 rna 1
1708386,43173,rhizoctonia solani negative-stranded virus 4
1708385,43174,rhizoctonia solani beny-like virus 1
1708382,43175,rhizoctonia solani barnavirus 1
1708344,43182,rhizoctonia solani mitovirus 9
1708343,43183,rhizoctonia solani mitovirus 8
1708342,43184,rhizoctonia solani mitovirus 7
1708341,43185,rhizoctonia solani mitovirus 6
1708340,43186,rhizoctonia solani mitovirus 5
1708339,43187,rhizoctonia solani mitovirus 4
1708338,43188,rhizoctonia solani mitovirus 3
1708337,43189,rhizoctonia solani mitovirus 2
1708336,43190,rhizoctonia solani mitovirus 15
1708335,43191,rhizoctonia solani mitovirus 14
1708334,43192,rhizoctonia solani mitovirus 13
1708333,43193,rhizoctonia solani mitovirus 12
1708332,43194,rhizoctonia solani mitovirus 11
1708331,43195,rhizoctonia solani mitovirus 10
1708330,43196,rhizoctonia solani mitovirus 1
1678208,45370,rhizoctonia solani rna virus hn008,VHostDB
1601835,53935,rhizoctonia fumigata partitivirus
1592828,58203,rhizoctonia fumigata mycovirus,VHostDB
1561961,62005,rhizoctonia cerealis mitovirus
1461373,71613,rhizoctonia virus rs002
1461372,71614,rhizoctonia solani virus-rs002
1461371,71615,rhizoctonia mitovirus 1 rs006-2
1461370,71616,rhizoctonia mitovirus 1 rs058-1
1461369,71617,rhizoctonia mitovirus 2 rs002
1461368,71618,rhizoctonia mitovirus 1 rs002
1461367,71619,rhizoctonia solani endornavirus - rs006-2
1461366,71620,rhizoctonia solani endornavirus - rs058-1
1461365,71621,rhizoctonia solani endornavirus - rs024-1
1461364,71622,rhizoctonia solani endornavirus - rs002
1461363,71623,rhizoctonia solani endornavirus - rs098-1
1461362,71624,rhizoctonia solani endornavirus - pr-2
1411681,76359,rhizoctonia solani dsrna virus 2,VHostDB
1408133,76451,rhizoctonia cerealis alphaendornavirus 1,VHostDB
1265605,92802,rhizoctonia solani dsrna virus 1
46618,188772,rhizoctonia solani virus 717,VHostDB
