675833,141520,helicobasidium mompa alphaendornavirus 1,VHostDB
404978,170659,helicobasidium mompa v670 l2-dsrna virus
376599,173908,helicobasidium mompa dsrna virus v169
376280,173910,helicobasidium mompa dsrna virus n10
344866,176565,helicobasidium mompa partitivirus v70
319963,178495,helicobasidium purpureum partitivirus
233050,182117,helicobasidium mompa partitivirus v1-2
233049,182118,helicobasidium mompa partitivirus v1-1
233048,182119,helicobasidium mompa partitivirus v13
233046,182120,helicobasidium mompa mitovirus 1-18
196690,183876,helicobasidium mompa totivirus 1-17,VHostDB
91913,187544,helicobasidium mompa dsrna mycovirus
