2008368,10147,micromonas polaris virus
1592782,58213,micromonas pusilla virus 43t
1592781,58214,micromonas pusilla virus 42t
1592780,58215,micromonas pusilla virus 41t
1592779,58216,micromonas pusilla virus 40t
1592778,58217,micromonas pusilla virus 39t
1592777,58218,micromonas pusilla virus 38t
1592776,58219,micromonas pusilla virus 14t
1592775,58220,micromonas pusilla virus 13t
1592774,58221,micromonas pusilla virus 11t
1592773,58222,micromonas pusilla virus 10t
1592772,58223,micromonas pusilla virus 09t
1592771,58224,micromonas pusilla virus 08t
1592770,58225,micromonas pusilla virus 07t
1592769,58226,micromonas pusilla virus 06t
1592768,58227,micromonas pusilla virus 05t
1592767,58228,micromonas pusilla virus 04t
1592766,58229,micromonas pusilla virus 03t
1592765,58230,micromonas pusilla virus 02t
1421774,75525,micromonas virus
1416522,75818,micromonas virus miccv9
1416521,75819,micromonas virus miccv32
1416520,75820,micromonas virus micbv39
1416519,75821,micromonas virus micbv30
1416518,75822,micromonas virus micbv26
1416517,75823,micromonas virus micbv10
1416516,75824,micromonas virus micav8
1416515,75825,micromonas virus micav30
1416514,75826,micromonas virus micav29
1416513,75827,micromonas virus micav27
1416512,75828,micromonas virus micav17
1416511,75829,micromonas virus micav16
1416510,75830,micromonas virus micav11
1416509,75831,micromonas virus mic497v2
1416508,75832,micromonas virus mi829v1
1416507,75833,micromonas virus mi497v14
1416506,75834,micromonas virus mi1109v14
880161,125706,micromonas sp. rcc1109 virus mpv1,VHostDB
755272,131675,micromonas pusilla virus 12t,VHostDB
649596,145575,micromonas pusilla reovirus (isolate netherlands)
633843,147076,micromonas virus miv93
633842,147077,micromonas virus miv130
633841,147078,micromonas virus miv100
374160,174089,micromonas pusilla virus sp1 sensu lato
374003,174100,micromonas pusilla virus sp2
374002,174101,micromonas pusilla virus gm1
374001,174102,micromonas pusilla virus pb6
374000,174103,micromonas pusilla virus pb7
373999,174104,micromonas pusilla virus pb8
373998,174105,micromonas pusilla virus sg1
373997,174106,micromonas pusilla virus pl1
373996,174107,micromonas pusilla virus sp1
338781,177075,micromonas pusilla reovirus,VHostDB
