2175116,256,anguilla marmorata adomavirus 1
2116483,654,wuhan spiny eel influenza virus
2116398,716,wenling moray eel hepevirus
2116381,733,wenling moray eel hepacivirus
2116171,812,beihai conger picornavirus
2116161,821,beihai conger calicivirus
2116157,825,wuhan spiny eel calicivirus 2
2116156,826,wuhan spiny eel calicivirus 1
1941417,18153,eel circovirus
1689168,44673,marbled eel reovirus
1662286,46440,marbled eel polyomavirus,VHostDB
1609634,53066,eel river basin pequenovirus
1435208,74111,eel virus american
1420600,75683,anguilla anguilla circovirus,VHostDB
1398149,77607,eel picornavirus 1,VHostDB
712037,136027,japanese eel endothelial cells-infecting virus,VHostDB
685443,139501,eel virus european x,VHostDB
638660,146956,short-finned eel ranavirus,VHostDB
210022,183306,european eel nervous necrosis virus
150286,185905,anguillid herpesvirus 1,VHostDB
