2116482,655,wuhan asiatic toad influenza virus
2116422,705,wuhan asiatic toad astrovirus
2116358,752,hainan black-spectacled toad dimarhabdovirus
2116186,797,hainan black-spectacled toad picornavirus
2116132,850,hainan black-spectacled toad astrovirus 2
1585659,59118,portuguese newt and toad ranavirus
1494922,68112,brown toad circovirus
176654,184729,bufo iridoviruses
105556,187198,bufo marinus venezuelan iridovirus 6
105555,187199,bufo marinus venezuelan iridovirus 4
105554,187200,bufo marinus venezuelan iridovirus 3
105553,187201,bufo marinus venezuelan iridovirus 2
105552,187202,bufo marinus venezuelan iridovirus 1
105551,187203,bufo bufo united kingdom iridovirus 3
105550,187204,bufo bufo united kingdom iridovirus 2
105549,187205,bufo bufo united kingdom iridovirus 1
99265,187425,bufo calamita retrovirus
