Lutjaniformes,4
Priacanthiformes,1
Chaetodontiformes,7
Holocentriformes,1
Centrarchiformes,12
Pempheriformes,3
Acanthuriformes,2
Spariformes,13
Ephippiformes,7
Labriformes,10
Uranoscopiformes,4
Blenniiformes,1
Cichliformes,11
Carangiformes,11
Anabantiformes,4
Scombriformes,6
Gobiiformes,1
Crocodylia,3
Pilosa,2
Enterogona,1
Argentiniformes,1
Syngnathiformes,9
Myliobatiformes,2
Aulopiformes,5
Synbranchiformes,1
Mugiliformes,4
Osmeriformes,2
Peramelemorphia,2
Diprotodontia,11
Didelphimorphia,4
Carnivora,993
Clupeiformes,3
Tetraodontiformes,12
Carcharhiniformes,3
Strigiformes,4
Procellariiformes,2
Gonorynchiformes,1
Rodentia,730
Lagomorpha,37
Hyracoidea,1
Perissodactyla,795
Proboscidea,32
Sirenia,4
Cetacea,95
Primates,120773
Chiroptera,1470
Scandentia,11
Monotremata,1
Sphenisciformes,23
Psittaciformes,16
Phoenicopteriformes,1
Pelecaniformes,23
Passeriformes,107
Gruiformes,2
Galliformes,12352
Falconiformes,56
Coraciiformes,3
Columbiformes,227
Ciconiiformes,2
Charadriiformes,166
Anseriformes,10843
Apterygiformes,1
Tinamiformes,1
Struthioniformes,59
Squamata,94
Testudines,50
Gymnophiona,2
Anura,59
Caudata,18
Beryciformes,2
Pleuronectiformes,33
Perciformes,71
Lophiiformes,4
Batrachoidiformes,1
Gadiformes,35
Esociformes,5
Salmoniformes,30
Siluriformes,12
Cypriniformes,33
Anguilliformes,20
Acipenseriformes,1
Myxiniformes,3
Petromyzontiformes,7
NA,2363
Cetartiodactyla,14821
