2040287,5886,influenza a virus (a/mink/china/02/2014(h9n2))
2040286,5887,influenza a virus (a/mink/china/01/2014(h9n2))
2023342,8313,marten adenovirus type 2
2023337,8314,marten adenovirus type 1
1913642,23898,mink coronavirus 1
1906351,25744,sea otter herpesvirus
1903251,25919,influenza a virus (a/mink/china/xb/2015(h5n1))
1903250,25920,influenza a virus (a/mink/china/g/2015(h5n1))
1891972,26658,mink bocavirus,VHostDB
1882383,28051,sea otter adenovirus 1
1882382,28052,sea otter parvovirus 1,VHostDB
1834535,32223,marten betaherpesvirus
1834531,32226,marten gammaherpesvirus 2
1834530,32227,marten gammaherpesvirus 1
1834529,32228,marten alphaherpesvirus
1634484,49801,badger associated gemykibivirus 1,VHostDB
1615583,50948,vesivirus ferret badger/jx12/china/2012,VHostDB
1608323,53137,meles meles polyomavirus 1,VHostDB
1564920,61721,ferret badger calicivirus
1552409,62574,sea otter polyomavirus 1,VHostDB
1545834,62864,influenza a virus (a/mink/shandong/f6/2013(h9n2))
1545833,62865,influenza a virus (a/mink/shandong/f10/2013(h9n2))
1516078,65497,mink avastrovirus
1504566,67247,otter fecal bunyavirus
1475143,69585,mink circovirus,VHostDB
1472717,69817,enhydra lutris papillomavirus 1,VHostDB
1416741,75810,sea otter poxvirus
1394142,77919,ferret parechovirus,VHostDB
1394141,77920,ferret papillomavirus,VHostDB
1394138,77921,ferret kobuvirus
1277639,91476,influenza a virus (a/mink/south dakota/a01279427/2012(h1n1))
1264898,92804,ferret coronavirus,VHostDB
1239574,94862,mamastrovirus 10,VHostDB
1229456,95749,influenza a virus (a/mink/wisconsin/31512-7/2012(h3n2))
1213422,97758,ferret hepatitis e virus,VHostDB
1128423,107444,pine marten torque teno virus 1,VHostDB
1128422,107445,meles meles fecal virus,VHostDB
1128073,107468,meles meles circovirus-like virus,VHostDB
1128072,107469,pine marten bocavirus
1076296,112298,ferret coronavirus 4e98
1076295,112299,ferret coronavirus 511c
1071618,112792,influenza a virus (a/mink/iowa/30943/2010(h1n2))
997456,118642,influenza a virus (a/mink/nova scotia/1265707/2010(h3n2))
766792,129877,mink coronavirus strain wd1133,VHostDB
766791,129878,mink coronavirus strain wd1127,VHostDB
742314,134534,ferret systemic coronavirus
741336,134752,ferret enteric coronavirus
727990,134904,ferret systemic coronavirus wadl
727989,134905,ferret systemic coronavirus msu-s
727988,134906,ferret enteric coronavirus 1202
690695,138695,oriental small-clawed otter gammaherpesvirus
646302,146057,influenza a virus (a/mink/sweden/3900/1984(h10n4))
547903,152619,influenza a virus (a/mink/sweden/v907/2006(h5n1))
542563,153442,influenza a virus (a/mink/nova scotia/1055488/2007(h3n2))
441979,166848,chinese ferret badger coronavirus guangxi/f250/2006
441978,166849,chinese ferret badger coronavirus guangxi/f247/2006
434615,167875,chinese ferret badger coronavirus dm95/2003
382839,173304,influenza a virus (a/mink/sweden/1984(h10n4))
366619,174724,ferret enteric coronavirus msu1
222742,182730,influenza a virus (a/mink/sweden/e12665/84(h10n4))
186174,184325,mink enteritis virus strain beregovoy
154122,185813,mink calicivirus,VHostDB
154121,185814,mink enteric sapovirus
28314,189763,aleutian mink disease virus,VHostDB
11785,190347,mink cell focus-forming virus
11784,190348,rauscher mink cell focus-forming virus
11783,190349,friend mink cell focus-forming virus
10793,190998,mink enteritis virus strain abashiri
10792,190999,mink enteritis virus
10783,191008,aleutian mink disease parvovirus (strain g)
