2013564,9906,fur seal picorna-like virus,VHostDB
1985380,12764,fur seal associated gemycircularvirus 1
1891775,26664,zalophus californianus polyomavirus 1
1566010,61690,seal anellovirus 5
1519097,65120,sesavirus csl10538,VHostDB
1439705,74024,fur seal cyclovirus
1427158,75210,seal parvovirus
1419111,75695,ringed seal herpesvirus
1419110,75696,hooded seal herpesvirus
1419109,75697,harp seal herpesvirus
1391033,78079,faeces associated gemycircularvirus 4,VHostDB
1353241,80120,fur seal faeces associated circular dna virus,VHostDB
1218490,97138,torque teno zalophus virus 1,VHostDB
1204536,99178,northern fur seal polyoma virus
1187973,101468,otarine picobirnavirus,VHostDB
1159196,103965,southern elephant seal virus macquarie island
998829,118452,zalophus californianus papillomavirus 1,VHostDB
943083,121745,california sea lion adenovirus 1,VHostDB
932663,122509,otaria flavescens adenovirus spain/2010
715223,135776,california sea lion polyomavirus 1,VHostDB
679171,141182,harbor seal coronavirus 1
645427,146219,california sea lion astrovirus 2,VHostDB
358125,175267,harbor seal parapoxvirus 2
358124,175268,harbor seal parapoxvirus 1
358123,175269,grey seal parapoxvirus 1
345308,176521,northern elephant seal herpesvirus
333743,177541,hawaiian monk seal herpesvirus
319746,178579,harbor seal parapoxvirus
