2116428,700,fujian spotted paddle-tail newt picornavirus
2116168,814,fujian spotted paddle-tail newt calicivirus
2116143,839,zhejiang chinese fire belly newt astrovirus 3
2116142,840,zhejiang chinese fire belly newt astrovirus 2
2116141,841,zhejiang chinese fire belly newt astrovirus 1
2116131,851,fujian spotted paddle-tail newt astrovirus
1926511,20422,livupivirus a,VHostDB
1661395,46519,ampivirus a1,VHostDB
1585658,59119,neurergus crocatus ranavirus
1574221,60895,bosca's newt virus
540070,153666,common midwife toad virus,VHostDB
346227,176504,tylototriton kweichowensis ranavirus
