2217876,14,humpback whale blow-associated circo-like virus 1
2217875,15,humpback whale blow-associated circo-like virus 2
2217874,16,humpback whale blow-associated denso-like virus
2217873,17,humpback whale blow-associated picornavirus
2217872,18,humpback whale blow-associated tombus-like virus
1986025,12573,dolphin mastadenovirus a
1982744,13310,beluga whale alphaherpesvirus
1714377,42947,bottlenose dolphin adenovirus 1
1564904,61724,dolphin gammaherpesvirus
1485966,68641,dolphin herpesvirus v3528
1479476,69175,bottlenose dolphin herpesvirus dp01_k310
1479000,69177,bottlenose dolphin herpesvirus 201mg_r
1478596,69179,bottlenose dolphin herpesvirus v1353-k263
1478185,69220,dolphin adenovirus 1
1434720,74163,beluga whale alphaherpesvirus 1
1379306,79043,beluga whale herpesvirus
1240797,94773,longman's beaked whale morbillivirus
943161,121734,minke whale astrovirus 2
943160,121735,minke whale astrovirus 1
943159,121736,bottlenose dolphin astrovirus 8
943158,121737,bottlenose dolphin astrovirus 7
943157,121738,bottlenose dolphin astrovirus 6
943156,121739,bottlenose dolphin astrovirus 5
943155,121740,bottlenose dolphin astrovirus 4
943154,121741,bottlenose dolphin astrovirus 3
943153,121742,bottlenose dolphin astrovirus 2
768113,129601,striped dolphin herpesvirus
655489,144752,stejneger's beaked whale gammaherpesvirus
655488,144753,sperm whale gammaherpesvirus
655487,144754,melon-headed whale alphaherpesvirus
655486,144755,false killer whale alphaherpesvirus
645425,146221,bottlenose dolphin astrovirus 1
577566,149808,bottlenose dolphin enterovirus
359948,175212,risso's dolphin gammaherpesvirus
359947,175213,cetacea gammaherpesvirus
319745,178580,atlantic bottlenose dolphin gammaherpesvirus
318419,178655,atlantic bottlenose dolphin alphaherpesvirus
318417,178656,bottlenose dolphin gammaherpesvirus
318416,178657,dwarf sperm whale gammaherpesvirus
301599,179467,blainville's beaked whale gammaherpesvirus
256962,181474,dolphin poxvirus 1
119020,186871,pilot whale morbillivirus
107323,187165,bottlenose dolphin herpesvirus
