1809460,33805,phocoena phocoena herpesvirus type 2
1809459,33806,phocoena phocoena herpesvirus type 3
1163706,103344,phocoena phocoena papillomavirus 5
1088787,111399,phocoena adenovirus 1
706532,136610,phocoena phocoena papillomavirus sw1999/152
706531,136611,phocoena spinipinnis papillomavirus ias50.2
706527,136613,phocoena phocoena papillomavirus 4,VHostDB
706526,136614,phocoena phocoena papillomavirus 2,VHostDB
706525,136615,phocoena phocoena papillomavirus 1,VHostDB
654916,144849,phocoena spinipinnis papillomavirus (isolate peru)
82676,187728,omikronpapillomavirus 1,VHostDB
