2126133,625,water deer coronavirus
2067573,1940,white-tailed deer poxvirus
2026363,7756,mule deer alphaherpesvirus
2003578,11933,cervid adenovirus 1,VHostDB
1908804,25291,tetraparvovirus sp.,VHostDB
1905556,25820,rusa timorensis papillomavirus type 2
1843767,31206,deer faeces associated circular dna virus 1,VHostDB
1776868,36435,rusa timorensis papillomavirus type 1
1747360,39593,pudu puda papillomavirus 1
1747359,39594,cervus elaphus papillomavirus type 2
1605790,53377,muntjac deer atadenovirus kh-2015b
1604860,53630,muntjac deer rotavirus kh-2015
1604859,53631,muntjac deer mastadenovirus kh-2015
1579460,59315,parapoxvirus red deer/hl953,VHostDB
1489736,68423,rangifer tarandus granti polyomavirus
1489733,68424,rangifer tarandus granti nidovirus
1489731,68425,rangifer tarandus granti parvovirus
1489729,68426,rangifer tarandus granti papillomavirus
1434070,74185,cervus papillomavirus 2,VHostDB
1408137,76450,mobuck virus,VHostDB
1370095,79169,rangifer tarandus papillomavirus 3
1370094,79170,rangifer tarandus papillomavirus 2,VHostDB
1273575,92134,capreolus herpesvirus 1
1249499,93682,reindeer gammaherpesvirus
1163707,103343,pudu puda papillomavirus 1
1163700,103349,cervus timorensis papillomavirus 1
1163699,103350,cervus elaphus papillomavirus 1
980972,121301,odocoileus hemionus endogenous retrovirus
664654,142769,pestivirus sp. strain deer
564426,151144,cervus elaphus papillomavirus ke-2008
470214,163119,capreolus capreolus papillomavirus 1,VHostDB
449133,166142,epizootic hemorrhagic disease virus (serotype 1 / strain new jersey),VHostDB
445218,166368,pudu puda papillomavirus
445216,166370,cervus timorensis papillomavirus
422134,169031,white-tailed deer coronavirus us/oh-wd470/1994,VHostDB
422133,169032,sambar deer coronavirus us/oh-wd388-tc/1994,VHostDB
422132,169033,sambar deer coronavirus us/oh-wd388/1994,VHostDB
333342,177552,fallow deer lymphotropic herpesvirus
305676,179144,deerpox virus w-1170-84,VHostDB
305674,179145,deerpox virus w-848-83,VHostDB
262725,181344,reindeer parapoxvirus
227509,182407,malignant catarrhal fever virus in white-tailed deer
227127,182429,type 2 ruminant rhadinovirus of mule deer
227126,182430,type 2 ruminant rhadinovirus of black-tailed deer
129728,186651,parapoxvirus of red deer in new zealand
104223,187273,deer malignant catarrhal fever virus
78522,187785,odocoileus adenovirus 1,VHostDB
40051,189015,bluetongue virus,VHostDB
12647,189812,epizootic hemorrhagic disease of deer virus
10910,190908,epizootic hemorrhagic disease virus (serotype 2 / strain alberta),VHostDB
10569,191161,reindeer papillomavirus
10565,191165,deltapapillomavirus 1,VHostDB
10564,191166,deltapapillomavirus 2,VHostDB
