2055872,2980,influenza a virus (a/sanderling/delaware bay/512/2016(h10n5))
2029895,7325,influenza a virus (a/sanderling/delaware bay/309/2015(h1n1))
2029894,7326,influenza a virus (a/sanderling/delaware bay/307/2015(h1n1))
2029893,7327,influenza a virus (a/sanderling/delaware bay/523/2015(h1n1))
1985824,12610,influenza a virus (a/sanderling/delaware bay/520/2016(h10n5))
1985823,12611,influenza a virus (a/sanderling/delaware bay/519/2016(h10n5))
1985822,12612,influenza a virus (a/sanderling/delaware bay/507/2016(h10n5))
1985821,12613,influenza a virus (a/sanderling/delaware bay/426/2016(h3n8))
1983777,13104,avian paramyxovirus 15,VHostDB
1937255,18662,influenza a virus (a/sanderling/delaware bay/280/2015(h7n3))
1937254,18663,influenza a virus (a/sanderling/delaware bay/225/2015(h7n3))
1934039,19135,calidris fuscicollis coronavirus
1934037,19137,calidris alba coronavirus
1658135,47186,influenza a virus (a/curlew/peru/puv178/2009(h3n1))
1323010,84111,influenza a virus (a/sanderling/new jersey/ai06-125/2006(h7n3))
1322565,84555,influenza a virus (a/sanderling/new jersey/471580/2001(h12n7))
1322482,84637,influenza a virus (a/sanderling/new jersey/1148674/2004(h10n7))
1322480,84639,influenza a virus (a/sanderling/new jersey/471586/2001(h10n7))
1204252,99226,avian avulavirus 11,VHostDB
1166650,103142,influenza a virus (a/sanderling/new jersey/756/1986(h2n7))
1093566,109726,influenza a virus (a/sanderling/delaware bay/65/1999(mixed))
1093537,109755,influenza a virus (a/sanderling/delaware bay/449/2006(h9n2))
1093439,109853,influenza a virus (a/sanderling/delaware bay/70/1999(h3n8))
681056,140366,influenza a virus (a/sanderling/new jersey/884/2001(h10n7))
681055,140367,influenza a virus (a/sanderling/new jersey/821/2001(h10n7))
681054,140368,influenza a virus (a/sanderling/new jersey/369/2006(h7n3))
681053,140369,influenza a virus (a/sanderling/new jersey/355/2006(h7n3))
681052,140370,influenza a virus (a/sanderling/new jersey/279/2004(h10n7))
681051,140371,influenza a virus (a/sanderling/new jersey/148/2006(h7n3))
680612,140742,influenza a virus (a/sanderling/new jersey/125/2006(h7n3))
680611,140743,influenza a virus (a/sanderling/delaware/882/2002(h2n1))
680610,140744,influenza a virus (a/sanderling/delaware/654/2002(h6n4))
657755,144281,influenza a virus (a/sanderling/new jersey/sg-00486/2008(h10n7))
583011,149328,influenza a virus (a/sanderling/delaware/482/2006(h9n2))
545416,152946,influenza a virus (a/sanderling/nj/1042/2005(h3n6))
402460,171164,influenza a virus (a/sanderling/delaware/1258/1986(h6n6))
351034,176109,influenza a virus (a/sanderling/new jersey/766/1986(h2n7))
349687,176125,influenza a virus (a/curlew/shandong/61/04(h5n1))
333195,177620,influenza a virus (a/sanderling/de/650680/02(h6))
286250,180246,influenza a virus (a/sanderling/delaware/65/99 (h3n8))
183667,184525,influenza a virus (a/curlew sandpiper/hong kong/208/89(h10n5))
