2211154,44,artibeus lituratus papillomavirus
2211153,45,artibeus lituratus adenovirus
2211152,46,artibeus lituratus parvovirus
2109862,881,artibeus planirostris papillomavirus
2054618,3100,torque teno desmodus rotundus virus
2054617,3101,torque teno carollia perspicillata virus
1979163,14054,mapuera rubulavirus,VHostDB
1959762,16856,desmodus rotundus circovirus 1
1954226,17455,diphylla ecaudata gammaherpesvirus
1954225,17456,desmodus rotundus gammaherpesvirus
1926498,20428,desmodus rotundus parvovirus,VHostDB
1905320,25821,desmodus rotundus adenovirus 2
1905319,25822,desmodus rotundus adenovirus 1
1622024,50273,desmodus rotundus endogenous retrovirus,VHostDB
1606503,53327,desmodus rotundus polyomavirus 1,VHostDB
1606502,53328,carollia perspicillata polyomavirus 1,VHostDB
1606499,53331,artibeus planirostris polyomavirus 3
1606498,53332,artibeus planirostris polyomavirus 2
1606497,53333,artibeus planirostris polyomavirus 1
1508712,66702,tent-making bat hepatitis b virus,VHostDB
1288703,89338,desmodus rotundus adenovirus poa/2012/n5.1
1131485,107280,artibeus jamaicensis parvovirus 1,VHostDB
570424,150368,lonchophylla thomasi simplexvirus 1
11631,190469,tacaribe mammarenavirus,VHostDB
