2116475,662,wuhan carp isavirus 2
2116474,663,wuhan carp isavirus 1
2116386,728,guangdong pseudohemiculter dispar calicivirus
2116363,747,wuhan redfin culter dimarhabodovirus
2116199,784,wuhan carp picornavirus
2116155,827,wuhan carp calicivirus 2
2116154,828,wuhan carp calicivirus 1
1949201,17855,fathead minnow calicivirus,VHostDB
1917197,23306,crucian carp herpesvirus
1856030,30565,golden shiner totivirus,VHostDB
1798085,34724,piscine myocarditis-like virus,VHostDB
1690672,44642,white sucker hepatitis b virus,VHostDB
1653087,47664,carp edema virus
1574287,60893,fisavirus 1,VHostDB
1551589,62616,cyprinid herpesvirus 4
1439369,74025,carp picornavirus 1,VHostDB
1437365,74036,cyprinid herpesvirus
1401263,77180,fathead minnow picornavirus,VHostDB
1312735,86577,cyprinid herpesvirus 12itt-426
1288359,89361,grass carp virus,VHostDB
1288358,89362,tench rhabdovirus,VHostDB
1088890,111394,halastavi arva rna virus,VHostDB
759938,131123,barbel circovirus,VHostDB
696863,138089,carp sprivivirus,VHostDB
648234,145648,american grass carp reovirus pb01-155
465447,163835,american grass carp reovirus,VHostDB
405554,170627,white bream virus,VHostDB
317878,178662,cyprinid herpesvirus 2,VHostDB
317858,178663,cyprinid herpesvirus 1,VHostDB
185782,184433,aquareovirus c,VHostDB
180230,184596,cyprinid herpesvirus 3,VHostDB
128987,186668,grass carp reovirus
128986,186669,grass carp hemorrhagic virus
