1987722,12196,harrier picornavirus 1,VHostDB
1959128,17056,influenza a virus (a/eagle/jakarta timur/20616-206-iii/2016(h5n1))
1740857,39728,bald eagle poxvirus
1520002,65058,raptor adenovirus 1,VHostDB
1155089,104216,influenza a virus (a/eurasian eagle owl/korea/23/2010(h5n1))
1144259,105058,influenza a virus (a/buzzard/berlin/01/2006(h5n1))
1092968,110127,influenza a virus (a/eurasian eagle owl/korea/q196/2011(h5n1))
1092967,110128,influenza a virus (a/eurasian eagle owl/korea/q182/2011(h5n1))
1092966,110129,influenza a virus (a/eurasian eagle owl/korea/q178/2011(h5n1))
1092965,110130,influenza a virus (a/eurasian eagle owl/korea/q133/2011(h5n1))
1004778,117546,avipoxvirus spilornis cheela/taiwan/2008
690691,138699,common buzzard alphaherpesvirus
547900,152622,influenza a virus (a/eagle owl/sweden/v618/2006(h5n1))
547899,152623,influenza a virus (a/eagle owl/sweden/v1218/2006(h5n1))
482146,161861,influenza a virus (a/buzzard/sweden/v651/06(h5n1))
452107,166074,influenza a virus (a/buzzard/denmark/6370/06(h5n1))
415688,169600,influenza a virus (a/eagle owl/bavaria/10/2006(h5n1))
415685,169603,influenza a virus (a/buzzard/bavaria/5/2006(h5n1))
415684,169604,influenza a virus (a/buzzard/bavaria/13/2006(h5n1))
404924,170664,influenza a virus (a/eagle owl/germany/r1166/06(h5n1))
11024,190821,highlands j virus,VHostDB
